isbn;titulo;autor;editorial;categoria;año_publicacion;idioma;formato;paginas;precio_venta_pvp;precio_coste;margen_bruto_pct;disponible_online;disponible_tienda;activo;fecha_alta_catalogo;resena_texto
978-835-104-9732-4;Libro 0016 - Ficción;Gabriel García Márquez;Alianza Editorial;Ficción;2001;Español;Bolsillo;236;11.38;6.92;39.15;Sí;Sí;No;2019-03-16;García Márquez llevó el realismo mágico a su cumbre. Su capacidad para fundir lo cotidiano con lo prodigioso, en una prosa de una musicalidad extraordinaria, lo sitúa entre los grandes de la literatura universal.
978-941-549-1942-6;Libro 0017 - Ficción;Arturo Pérez-Reverte;Paidós;Ficción;1998;Español;Tapa blanda;586;14.11;9.7;31.22;Sí;Sí;Sí;2022-02-20;Pérez-Reverte es el maestro del thriller histórico en lengua española. Sus novelas combinan acción, erudición histórica y personajes con una riqueza moral que los hacen inolvidables.
978-167-861-2860-2;Libro 0018 - Ciencia y Tecnología;Richard Dawkins;Alfaguara;Ciencia y Tecnología;2021;Español;Tapa dura;481;47.59;34.62;27.26;Sí;Sí;Sí;2023-11-19;Dawkins expone con brillantez los fundamentos de la evolución y la selección natural, desmontando mitos con argumentos rigurosos. Una obra esencial para entender la biología moderna y nuestra propia naturaleza.
978-875-154-6609-6;Libro 0019 - Ciencia y Tecnología;Richard Dawkins;Salamandra;Ciencia y Tecnología;1990;Español;Tapa blanda;612;42.29;27.54;34.89;Sí;Sí;Sí;2019-01-26;Con su característica claridad divulgativa, Dawkins explora los mecanismos de la herencia y la evolución. Un libro que cambia la forma de ver el mundo natural y el lugar del ser humano en él.
978-538-850-2313-2;Libro 0020 - Ciencia y Tecnología;Richard Dawkins;Paidós;Ciencia y Tecnología;1995;Español;Tapa dura;349;34.44;22.78;33.87;Sí;No;Sí;2020-09-07;Dawkins combina rigor científico con una prosa accesible para explicar conceptos complejos de biología evolutiva. Imprescindible para entender por qué somos como somos y cómo funciona la vida en su nivel más fundamental.
978-381-226-9068-6;Libro 0021 - Infantil/Juvenil;J.K. Rowling;Planeta;Infantil/Juvenil;2015;Español;Tapa blanda;206;9.33;6.33;32.18;Sí;Sí;Sí;2023-07-08;Rowling creó un universo mágico que ha cautivado a generaciones de lectores. La riqueza de su mundo, la profundidad de sus personajes y la emoción de sus tramas hacen de esta saga una de las grandes obras juveniles.
978-794-790-1303-4;Libro 0022 - Ficción;Elena Ferrante;Destino;Ficción;2015;Español;Tapa blanda;316;14.52;9.9;31.79;Sí;Sí;Sí;2019-04-22;Ferrante explora con una honestidad brutal la amistad femenina y las contradicciones de la vida moderna. Su prosa, despojada y directa, crea una intimidad con el lector que pocas novelas contemporáneas logran.
978-88-679-1470-3;Libro 0023 - Ciencia y Tecnología;Richard Dawkins;Crítica;Ciencia y Tecnología;1986;Español;Tapa dura;590;29.98;21.47;28.38;Sí;Sí;Sí;2023-04-15;Este texto es una defensa apasionada del pensamiento científico frente al dogma. Dawkins repasa décadas de descubrimientos en biología con el entusiasmo de quien ve en la ciencia la forma más hermosa de entender el mundo.
978-540-175-3713-9;Libro 0024 - Autoayuda;Brené Brown;Siruela;Autoayuda;2012;Español;Tapa blanda;159;13.49;6.88;48.99;Sí;No;Sí;2020-04-21;Brown transforma años de investigación sobre la vergüenza y la empatía en un libro accesible y transformador. Una invitación a abrazar la vulnerabilidad como fortaleza y no como debilidad.
978-290-919-3843-2;Libro 0025 - Cómics/Manga;Osamu Tezuka;Espasa;Cómics/Manga;2007;Español;Tapa dura;125;12.85;7.89;38.59;Sí;Sí;Sí;2023-06-28;Tezuka es el padre del manga moderno y su obra es testimonio de una imaginación sin límites. Combina aventura, ciencia ficción y reflexión humanista con un estilo visual que sigue siendo referencia décadas después.
978-621-332-7897-6;Libro 0026 - Idiomas;Raymond Murphy;Tusquets;Idiomas;1995;Español;Tapa blanda;239;42.76;26.42;38.21;Sí;Sí;Sí;2022-07-09;Murphy creó el manual de gramática inglesa más utilizado en el mundo. Su enfoque claro y sistemático, con ejercicios progresivos, lo hace indispensable para estudiantes de todos los niveles.
978-762-399-4032-4;Libro 0027 - Ficción;Isabel Allende;Planeta;Ficción;1992;Español;Tapa blanda;361;21.32;14.05;34.11;Sí;Sí;Sí;2021-03-08;Allende es una de las grandes voces de la narrativa latinoamericana. Sus novelas mezclan realismo mágico, historia y una mirada profundamente femenina para crear retratos de familias, mujeres y continentes enteros.
978-111-463-4794-2;Libro 0028 - Infantil/Juvenil;Laura Gallego;Anagrama;Infantil/Juvenil;2008;Español;Tapa blanda;161;14.97;8.91;40.49;Sí;Sí;Sí;2019-11-11;Gallego es la autora de fantasía juvenil más querida en lengua española. Sus mundos están construidos con una coherencia interna impresionante y sus personajes tienen una profundidad emocional poco común en el género.
978-346-878-2154-0;Libro 0029 - No Ficción;Michael Lewis;Anagrama;No Ficción;2001;Inglés;Tapa dura;293;14.26;9.61;32.64;Sí;Sí;Sí;2021-05-17;Lewis es el narrador del capitalismo moderno por excelencia. Con un estilo ágil y personajes memorables, explica los mecanismos más complejos de las finanzas con una claridad que ningún manual académico logra.
978-813-453-2911-4;Libro 0030 - Idiomas;Michael Swan;Anagrama;Idiomas;1996;Español;Tapa blanda;530;41.65;26.15;37.21;Sí;Sí;Sí;2022-06-26;Swan ofrece explicaciones gramaticales con una precisión y accesibilidad únicas. Su obra es referencia obligada en la enseñanza del inglés a hispanohablantes.
978-700-861-5291-1;Libro 0031 - Cómics/Manga;Osamu Tezuka;Anagrama;Cómics/Manga;2013;Catalán;Tapa blanda;213;10.43;6.75;35.31;Sí;Sí;Sí;2021-06-23;El dios del manga japonés construyó mundos de una riqueza inaudita. Sus historias, aparentemente sencillas en su trazo, esconden una profundidad filosófica y emocional que las hace atemporales.
978-794-647-2734-4;Libro 0032 - Autoayuda;Robin Sharma;Paidós;Autoayuda;1995;Español;Tapa dura;280;19.94;10.7;46.32;Sí;Sí;Sí;2022-05-04;Sharma defiende que la grandeza personal no es un privilegio de pocos sino el resultado de pequeñas decisiones diarias. Un libro que motiva a tomar el control de la vida con herramientas concretas y reflexiones profundas.
978-503-296-7936-9;Libro 0033 - No Ficción;Yuval Noah Harari;Planeta;No Ficción;2020;Español;Tapa blanda;222;22.36;15.49;30.71;Sí;Sí;Sí;2019-01-27;Harari ofrece una revisión audaz de la historia de la humanidad, desde la prehistoria hasta la globalización. Con análisis provocadores y una narrativa ágil, desafía los grandes relatos que damos por sentados sobre el progreso.
978-791-393-3903-6;Libro 0034 - Autoayuda;Dale Carnegie;Salamandra;Autoayuda;1988;Español;Ebook;196;12.18;5.79;48.18;Sí;No;Sí;2021-03-01;Un clásico atemporal sobre las relaciones humanas. Carnegie ofrece principios sencillos pero poderosos para ganarse la confianza de los demás, influir positivamente y comunicarse con eficacia en cualquier contexto.
978-246-871-5491-1;Libro 0035 - No Ficción;Yuval Noah Harari;Espasa;No Ficción;1996;Español;Bolsillo;335;14.93;8.33;44.23;Sí;Sí;Sí;2022-05-09;En este ensayo ambicioso, Harari examina cómo los mitos colectivos han permitido la cooperación a gran escala que hace posible la civilización. Una perspectiva que invita a replantear qué significa ser humano.
978-342-612-5144-2;Libro 0036 - Economía/Negocios;Daron Acemoglu;Salamandra;Economía/Negocios;1999;Español;Tapa dura;456;20.79;11.44;44.95;Sí;Sí;Sí;2020-12-28;Con rigor académico y accesibilidad, Acemoglu demuestra que la riqueza de las naciones no depende de la geografía ni la cultura, sino de las instituciones que favorecen o limitan la participación y el emprendimiento.
978-84-445-7546-9;Libro 0037 - Cómics/Manga;Alan Moore;Planeta;Cómics/Manga;1989;Español;Tapa dura;211;13.16;8.85;32.72;Sí;No;Sí;2019-06-30;Con su característica profundidad narrativa, Moore construye mundos oscuros y personajes llenos de contradicciones. Un cómic que trasciende el género y se instala en el territorio de la gran ficción contemporánea.
978-401-277-4112-1;Libro 0038 - Ciencia y Tecnología;Brian Greene;Anagrama;Ciencia y Tecnología;1996;Español;Bolsillo;674;31.86;23.42;26.49;Sí;Sí;Sí;2019-03-29;Con elegancia literaria y rigor científico, Greene explora las teorías más avanzadas de la física moderna. Un viaje intelectual fascinante por la mecánica cuántica, la relatividad y las dimensiones ocultas del universo.
978-307-456-3141-0;Libro 0039 - Economía/Negocios;Ha-Joon Chang;Espasa;Economía/Negocios;2019;Español;Tapa blanda;477;30.27;20.05;33.75;Sí;Sí;Sí;2022-07-10;Chang desmonta los mitos del libre mercado con datos históricos y una claridad envidiable. Argumenta que las economías exitosas siempre han combinado mercado y Estado, desafiando el dogma neoliberal dominante.
978-654-280-9485-8;Libro 0040 - Idiomas;Alan Grieve;Planeta;Idiomas;2018;Español;Tapa blanda;283;34.33;21.76;36.62;Sí;Sí;No;2021-12-29;Grieve diseñó recursos pedagógicos para el aprendizaje de idiomas que destacan por su practicidad y su atención a los contextos reales de uso.
978-650-436-2646-8;Libro 0041 - Arte y Fotografía;Giorgio Vasari;Planeta;Arte y Fotografía;2003;Inglés;Tapa blanda;333;72.89;51.57;29.25;Sí;Sí;No;2022-07-11;Con el entusiasmo del contemporáneo y la perspectiva del crítico, Vasari retrató a los grandes maestros del Renacimiento. Una obra que es a la vez documento histórico y declaración de amor al arte.
978-740-952-7182-4;Libro 0042 - No Ficción;Malcolm Gladwell;Crítica;No Ficción;2003;Español;Tapa dura;374;19.7;12.52;36.43;Sí;No;Sí;2019-01-10;Gladwell explora fenómenos sociales aparentemente inexplicables con una mezcla irresistible de periodismo, psicología y sociología. Sus historias hacen accesible la complejidad de los comportamientos humanos.
978-764-396-5524-6;Libro 0043 - Arte y Fotografía;John Berger;Alfaguara;Arte y Fotografía;1987;Inglés;Tapa dura;271;46.35;32.58;29.71;Sí;Sí;Sí;2023-05-24;Berger revolucionó la crítica de arte con su capacidad para conectar las obras del pasado con las relaciones de poder del presente. Un texto que cambia para siempre la manera de mirar una imagen.
978-620-665-3102-4;Libro 0044 - Ficción;Isabel Allende;Destino;Ficción;1995;Euskera;Tapa blanda;272;16.58;10.7;35.49;Sí;Sí;Sí;2020-04-12;Con una prosa rica y sensorial, Allende construye sagas familiares que son también crónicas de la historia latinoamericana. Sus personajes femeninos tienen una fuerza y complejidad que pocas autoras han logrado.
978-603-138-3078-7;Libro 0045 - Economía/Negocios;Adam Smith;Crítica;Economía/Negocios;1995;Español;Ebook;354;18.2;10.43;37.5;Sí;No;Sí;2019-09-22;La obra fundacional de la economía moderna. Smith analiza los mecanismos del mercado libre, la división del trabajo y la acumulación de riqueza con una visión que, siglos después, sigue siendo fuente de debate.
978-932-321-1255-7;Libro 0046 - Arte y Fotografía;John Berger;Ediciones B;Arte y Fotografía;1984;Español;Tapa blanda;130;64.46;45.79;28.96;Sí;Sí;Sí;2019-04-02;Con una prosa elegante y una mirada política aguda, Berger analiza cómo la historia del arte ha construido y reproducido ideologías. Imprescindible para cualquier persona interesada en el arte o la cultura visual.
978-911-662-8498-4;Libro 0047 - Cómics/Manga;Naoki Urasawa;Planeta;Cómics/Manga;1991;Gallego;Tapa blanda;210;10.2;5.93;41.82;Sí;Sí;Sí;2022-11-07;Con un dominio del cliffhanger y la construcción de personajes que pocos autores igualan, Urasawa crea universos complejos donde la tensión no descansa. Una lectura absorbente que redefine los estándares del manga.
978-223-391-6711-2;Libro 0048 - Ciencia y Tecnología;Stephen Hawking;Paidós;Ciencia y Tecnología;2011;Español;Ebook;688;24.48;14.36;36.03;Sí;No;Sí;2021-02-02;El libro más accesible de Hawking sobre la naturaleza del tiempo y el universo. Con analogías brillantes, explica la relatividad y la mecánica cuántica sin formación científica previa. Una obra que acercó la física teórica a millones.
978-608-360-8841-1;Libro 0049 - Idiomas;Norman Whitney;Espasa;Idiomas;1996;Español;Tapa blanda;546;40.72;26.06;36.0;Sí;Sí;Sí;2022-02-14;Con un diseño pedagógico cuidado y textos adaptados a cada nivel, Whitney ofrece recursos de aprendizaje del inglés que funcionan tanto en el aula como en el estudio independiente.
978-774-998-1291-2;Libro 0050 - Infantil/Juvenil;Laura Gallego;Ariel;Infantil/Juvenil;1994;Español;Tapa blanda;188;15.7;10.6;32.49;Sí;Sí;Sí;2020-06-27;Con una narrativa ágil y personajes complejos, Gallego lleva a sus lectores a mundos de fantasía elaborados con esmero. Una autora que ha formado a toda una generación de lectores en castellano.
978-368-853-8886-5;Libro 0051 - Arte y Fotografía;John Berger;Siruela;Arte y Fotografía;2009;Español;Tapa dura;260;64.78;50.48;22.08;Sí;Sí;Sí;2022-04-18;Berger combina el rigor del crítico con la sensibilidad del artista para explorar el significado de las imágenes en la cultura occidental. Una obra que enriquece profundamente la experiencia estética.
978-490-438-7939-8;Libro 0052 - Infantil/Juvenil;Jeff Kinney;Siruela;Infantil/Juvenil;1987;Español;Bolsillo;316;15.96;9.66;39.47;Sí;Sí;Sí;2023-06-16;Kinney creó uno de los personajes más queridos de la literatura juvenil actual. El humor cotidiano, los malentendidos generacionales y la búsqueda de identidad hacen de esta serie una lectura adictiva.
978-166-288-1975-0;Libro 0053 - Autoayuda;Dale Carnegie;Ediciones B;Autoayuda;1994;Español;Tapa blanda;254;13.57;8.32;38.67;Sí;Sí;Sí;2019-01-15;Este manual de habilidades sociales ha transformado la vida de millones de lectores desde su publicación. Carnegie enseña con anécdotas memorables cómo tratar a las personas con respeto y construir relaciones duraderas.
978-528-426-5538-2;Libro 0054 - Infantil/Juvenil;Laura Gallego;Crítica;Infantil/Juvenil;2018;Español;Bolsillo;279;14.52;7.57;47.88;Sí;Sí;Sí;2021-06-28;Gallego escribe fantasía que crece con sus lectores. Sus historias, llenas de magia, aventura y emoción genuina, tienen una sustancia narrativa que pocas obras del género juvenil pueden igualar.
978-391-648-8318-9;Libro 0055 - Economía/Negocios;Daron Acemoglu;Paidós;Economía/Negocios;2018;Español;Tapa dura;449;20.03;11.96;40.3;Sí;Sí;Sí;2019-09-06;Una obra de referencia en economía política que conecta historia, instituciones y desarrollo. Acemoglu argumenta con evidencia global que la inclusión económica es la clave del crecimiento sostenible.
978-830-300-3070-1;Libro 0056 - Arte y Fotografía;Simon Schama;Penguin Clásicos;Arte y Fotografía;2000;Euskera;Tapa blanda;347;51.02;37.27;26.95;No;Sí;Sí;2019-10-02;Schama escribe historia del arte con la pasión de un novelista y la precisión de un académico. Sus análisis de obras concretas revelan capas de significado que escapan a miradas menos atentas.
978-869-305-1638-3;Libro 0057 - Ciencia y Tecnología;Richard Dawkins;Alianza Editorial;Ciencia y Tecnología;1983;Español;Tapa blanda;477;47.46;34.03;28.3;Sí;Sí;Sí;2020-12-22;Una obra que desafía al lector a revisar sus certezas sobre la vida y el cosmos. Dawkins argumenta con pasión y evidencia empírica que la explicación científica de la existencia es más asombrosa que cualquier mito.
978-745-562-2715-2;Libro 0058 - Arte y Fotografía;E.H. Gombrich;Ariel;Arte y Fotografía;1998;Español;Tapa blanda;182;44.3;29.37;33.7;Sí;Sí;Sí;2023-09-12;La historia del arte más vendida de todos los tiempos. Gombrich lleva al lector por cuatro mil años de creación artística con una claridad, pasión y erudición que no tienen precedente en la literatura divulgativa.
978-392-906-8865-7;Libro 0059 - Arte y Fotografía;E.H. Gombrich;Random House;Arte y Fotografía;2001;Español;Bolsillo;240;43.99;30.27;31.2;Sí;Sí;Sí;2019-02-27;Gombrich tiene el don de hacer accesible lo complejo sin perder rigor. Su recorrido por la historia del arte occidental es a la vez una introducción y una obra de referencia para cualquier nivel.
978-465-467-6986-9;Libro 0060 - Autoayuda;James Clear;Ediciones B;Autoayuda;1980;Español;Tapa blanda;326;19.12;9.78;48.85;Sí;Sí;Sí;2020-06-27;Clear presenta un sistema revolucionario para crear buenos hábitos y eliminar los malos. Basado en la psicología del comportamiento, demuestra cómo pequeñas mejoras diarias generan transformaciones extraordinarias a largo plazo.
978-164-189-8893-1;Libro 0061 - Autoayuda;Dale Carnegie;Ediciones B;Autoayuda;1999;Español;Tapa dura;320;13.67;7.19;47.42;Sí;Sí;Sí;2020-05-17;Carnegie explora el arte de la persuasión y la comunicación con ejemplos históricos y cotidianos. Un libro que sigue siendo tan relevante hoy como cuando se escribió, aplicable tanto en el trabajo como en la vida personal.
978-946-766-1118-5;Libro 0062 - Ficción;Ken Follett;Tusquets;Ficción;2005;Español;Tapa blanda;487;20.05;12.88;35.75;Sí;Sí;Sí;2022-04-01;Follett es el gran artesano de la novela histórica popular. Sus tramas, llenas de personajes que abarcan generaciones, combinan la precisión histórica con una habilidad narrativa envolvente.
978-232-161-3242-4;Libro 0063 - Ficción;Ken Follett;Alianza Editorial;Ficción;2002;Español;Tapa dura;356;17.88;12.49;30.17;Sí;No;Sí;2019-08-20;Con una capacidad envidiable para dar vida a épocas pasadas, Follett construye sagas épicas que son también retratos vívidos de la condición humana a través de los siglos.
978-786-297-6189-7;Libro 0064 - Cómics/Manga;Osamu Tezuka;Siruela;Cómics/Manga;2020;Español;Tapa dura;100;8.84;5.59;36.72;Sí;Sí;Sí;2021-05-26;Tezuka revolucionó el lenguaje del cómic japonés combinando influencias del cine occidental con la sensibilidad estética del Japón de posguerra. Cada página es un testimonio de su genio creativo.
978-854-388-9496-0;Libro 0065 - Idiomas;Michael Swan;Ariel;Idiomas;2008;Español;Tapa blanda;300;30.25;20.27;33.0;Sí;Sí;Sí;2023-01-09;Con una organización impecable y ejemplos tomados del inglés cotidiano, Swan construyó una obra de referencia que ha ayudado a millones de estudiantes a dominar los matices del idioma.
978-156-189-3783-0;Libro 0066 - Ficción;Arturo Pérez-Reverte;Anagrama;Ficción;2007;Español;Tapa blanda;339;12.1;7.04;41.85;Sí;Sí;Sí;2023-06-21;Con un estilo cinematográfico y una documentación impecable, Pérez-Reverte construye aventuras que son también reflexiones sobre el honor, la traición y la condición humana.
978-522-284-8686-3;Libro 0067 - Arte y Fotografía;Simon Schama;Siruela;Arte y Fotografía;2018;Español;Tapa blanda;218;64.62;48.94;24.26;Sí;Sí;Sí;2019-03-29;Una exploración profunda del arte como expresión de la condición humana. Schama conecta obras de distintas épocas con los contextos que las hicieron posibles, creando una narrativa cultural apasionante.
978-751-341-8654-1;Libro 0068 - Ciencia y Tecnología;Carl Sagan;Ariel;Ciencia y Tecnología;2000;Español;Ebook;582;26.5;18.08;25.58;Sí;No;Sí;2020-03-08;Sagan es el maestro indiscutible de la divulgación científica. Este libro es un canto a la razón, a la belleza del cosmos y a la fragilidad de nuestro planeta. Una lectura que transforma la perspectiva para siempre.
978-217-275-7981-1;Libro 0069 - No Ficción;Rutger Bregman;Anagrama;No Ficción;1991;Español;Tapa blanda;241;14.4;9.04;37.21;Sí;Sí;No;2022-06-17;Bregman propone una revisión radical de la naturaleza humana, argumentando que las personas son fundamentalmente buenas. Con casos históricos y estudios empíricos, desafía el cinismo que domina el debate político actual.
978-615-551-3128-8;Libro 0070 - Economía/Negocios;Daron Acemoglu;Penguin Clásicos;Economía/Negocios;2016;Español;Tapa blanda;338;30.92;19.54;36.81;Sí;Sí;Sí;2022-05-29;Acemoglu es uno de los economistas más influyentes de su generación. Su análisis institucional del desarrollo económico ha cambiado la forma en que pensamos sobre la riqueza y la pobreza de las naciones.
978-325-995-9652-2;Libro 0071 - No Ficción;Michael Lewis;Paidós;No Ficción;1990;Inglés;Tapa dura;215;24.55;16.93;31.03;No;Sí;Sí;2023-12-04;Una crónica apasionante sobre los excesos y contradicciones del mundo financiero. Lewis construye una historia de ambición, riesgo y consecuencias que va mucho más allá del dinero.
978-342-469-3173-2;Libro 0072 - Cómics/Manga;Osamu Tezuka;Siruela;Cómics/Manga;2012;Español;Ebook;292;5.11;2.94;37.2;Sí;No;Sí;2019-12-11;La obra de Tezuka es un universo en expansión: miles de páginas donde conviven robots con emociones, dioses con dudas y humanos en busca de su lugar en el cosmos.
978-311-725-9308-9;Libro 0073 - Arte y Fotografía;E.H. Gombrich;Espasa;Arte y Fotografía;1997;Español;Tapa blanda;291;45.51;34.06;25.15;Sí;Sí;Sí;2023-11-04;Con una mirada siempre fresca y un dominio enciclopédico, Gombrich explica no solo qué se hizo en el arte sino por qué se hizo así. Un libro que transforma la experiencia de visitar cualquier museo.
978-371-118-6972-0;Libro 0074 - Infantil/Juvenil;Rick Riordan;Paidós;Infantil/Juvenil;2013;Español;Tapa dura;74;10.15;5.89;41.96;Sí;No;Sí;2021-11-16;Una historia emocionante que combina aventura, amistad y una mirada honesta sobre el crecimiento. Sus personajes son creíbles y sus dilemas, universales.
978-897-624-2686-7;Libro 0075 - Cómics/Manga;Alan Moore;Alianza Editorial;Cómics/Manga;1989;Español;Tapa blanda;149;14.06;8.94;36.45;Sí;Sí;Sí;2023-12-02;Moore lleva el cómic a territorios narrativos que pocas novelas gráficas han explorado. Una obra densa, bella y perturbadora que combina mitología, política y psicología de manera magistral.
978-676-981-7040-3;Libro 0076 - Idiomas;Alan Grieve;Siruela;Idiomas;1985;Español;Tapa dura;513;38.03;22.84;39.93;No;Sí;Sí;2023-03-10;Con un enfoque comunicativo y materiales actualizados, Grieve ofrece herramientas efectivas para el aprendizaje progresivo del inglés, prestando especial atención al vocabulario en contexto.
978-572-908-1727-4;Libro 0077 - Ciencia y Tecnología;Richard Dawkins;Destino;Ciencia y Tecnología;1994;Inglés;Tapa dura;406;45.31;28.7;36.66;Sí;Sí;No;2020-02-27;El gen egoísta o la metáfora del relojero ciego son imágenes que Dawkins acuñó para hacer comprensible la selección natural. Un pensador que ha moldeado la divulgación científica del siglo XX.
978-722-250-4429-9;Libro 0078 - Cómics/Manga;Osamu Tezuka;Crítica;Cómics/Manga;2007;Español;Bolsillo;236;8.87;5.8;34.58;Sí;No;Sí;2021-09-26;Tezuka abordó en sus obras temas como la guerra, la medicina, la ecología y la espiritualidad con igual profundidad y humanidad. Un autor que no tenía equivalente en ningún medio de su época.
978-336-624-5789-7;Libro 0079 - Infantil/Juvenil;Roald Dahl;Ariel;Infantil/Juvenil;1984;Español;Tapa blanda;99;10.32;6.18;40.07;Sí;Sí;Sí;2020-10-29;Dahl es el maestro de la literatura infantil con mordiente. Sus historias mezclan humor absurdo, justicia poética y una ligera perversidad que encanta a los niños y divierte a los adultos que los acompañan.
