venta_id;fecha;canal;tienda_id;empleado_id;cod_municipio_venta_ine;cliente_id;total_lineas;total_unidades;importe_bruto_total;importe_neto_total
V00073;2023-07-16;Tienda física;T005;E0025;8019;SIN_REGISTRO;3;4;121,62;119,98
V00074;2023-01-29;Tienda física;T011;E0059;8019;C0211;5;7;144,84;142,57
V00075;2022-08-02;Tienda física;T005;E0026;41091;C0159;1;3;58,17;49,44
V00076;2023-03-22;Tienda física;T005;E0027;8019;SIN_REGISTRO;3;3;79,81;76,19
V00077;2023-07-12;Tienda física;T006;E0034;8019;C0766;3;4;69,24;65,75
V00078;2022-06-27;Tienda física;T003;E0014;50297;C0079;1;1;27,29;23,2
V00079;2023-12-30;Tienda física;T007;E0038;8019;C0371;3;4;98,42;93,91
V00080;2022-04-28;Tienda física;T004;E0022;8019;C0378;2;2;32,43;30,17
V00081;2022-11-30;Online;ONLINE;ONLINE;48044;C0158;1;3;101,43;91,29
V00082;2023-04-01;Tienda física;T010;E0051;48020;C0353;2;2;48,59;48,59
V00083;2023-02-20;Tienda física;T007;E0039;28065;C0340;1;1;10,37;10,37
V00084;2023-12-03;Online;ONLINE;ONLINE;28074;C0038;1;2;36,48;32,83
V00085;2022-12-02;Online;ONLINE;ONLINE;28115;C0537;2;4;85,86;82,71
V00086;2022-04-03;Online;ONLINE;ONLINE;28079;C0544;2;2;86,39;86,39
V00087;2023-08-18;Tienda física;T010;E0053;28079;C0709;1;4;49,92;42,43
V00088;2022-05-31;Tienda física;T003;E0014;8015;C0706;3;5;178,99;163,3
V00089;2023-04-09;Online;ONLINE;ONLINE;47186;C0290;3;3;31,32;30,34
V00090;2023-02-04;Tienda física;T008;E0042;47186;C0358;1;3;28,95;26,05
V00091;2022-07-20;Tienda física;T012;E0062;8019;C0469;2;3;63,65;61,17
V00092;2022-11-03;Online;ONLINE;ONLINE;46192;C0200;7;10;143,14;139,23
V00093;2023-03-22;Tienda física;T003;E0015;29069;C0248;1;1;21,6;18,36
V00094;2022-04-02;Tienda física;T001;E0006;48020;C0505;2;4;93,65;84,28
V00095;2023-09-19;Online;ONLINE;ONLINE;8015;C0662;1;1;19,06;17,15
V00096;2022-05-11;Tienda física;T010;E0051;29069;C0613;5;6;138,85;136,78
V00097;2023-01-14;Tienda física;T007;E0038;28006;C0532;2;2;69,72;68,18
V00098;2022-01-01;Tienda física;T011;E0060;41059;C0694;4;6;141,87;132,33
V00099;2022-04-23;Tienda física;T005;E0026;8019;C0796;1;1;17,26;17,26
V00100;2022-08-29;Online;ONLINE;ONLINE;28079;C0440;1;1;13,72;13,03
V00101;2023-10-03;Online;ONLINE;ONLINE;8019;C0371;1;1;19,33;19,33
V00102;2023-02-20;Tienda física;T009;E0047;28079;C0089;2;3;64,19;60,98
V00103;2023-07-13;Tienda física;T006;E0030;46192;C0488;2;2;89,17;85,86
V00104;2023-05-02;Tienda física;T012;E0061;46250;C0115;3;3;77,81;75,42
V00105;2023-07-23;Tienda física;T008;E0040;48020;SIN_REGISTRO;1;1;15,9;15,11
V00106;2023-03-04;Online;ONLINE;ONLINE;29069;C0209;5;6;109,29;105,65
V00107;2023-11-18;Online;ONLINE;ONLINE;28065;C0169;1;2;24,96;24,96
V00108;2022-01-12;Tienda física;T012;E0062;28079;C0377;2;4;48,1;48,1
V00109;2022-05-28;Tienda física;T002;E0010;48020;C0343;2;3;39,52;35,99
V00110;2023-11-05;Online;ONLINE;ONLINE;28079;C0597;2;2;31,61;30,79
V00111;2022-03-28;Tienda física;T006;E0033;41059;C0045;6;10;207,98;204,47
V00112;2023-04-12;Tienda física;T007;E0035;41059;C0516;2;2;40,69;35,61
V00113;2023-10-01;Tienda física;T012;E0064;41091;C0342;2;4;99,9;99,14
V00114;2023-06-06;Online;ONLINE;ONLINE;28006;C0519;2;4;161,22;159,69
V00115;2023-01-29;Tienda física;T001;E0006;28079;C0380;1;1;19,96;19,96
V00116;2022-07-10;Tienda física;T008;E0040;29067;C0034;7;8;177,91;175,17
V00117;2023-08-15;Online;ONLINE;ONLINE;28065;C0169;3;7;158,63;145,92
V00118;2023-12-31;Tienda física;T009;E0047;28006;C0144;1;1;23,07;20,76
V00119;2023-02-25;Tienda física;T004;E0020;8019;C0174;1;1;33,28;29,95
V00120;2022-02-04;Tienda física;T011;E0060;28115;C0426;3;7;157,6;157,6
V00121;2023-12-23;Tienda física;T006;E0030;50297;C0437;2;2;54,45;52,81
V00122;2023-08-18;Tienda física;T008;E0043;41059;C0707;1;1;13,18;12,52
V00123;2022-05-26;Online;ONLINE;ONLINE;8019;C0739;2;4;109,36;98,91
V00124;2023-04-22;Tienda física;T002;E0009;48020;C0131;1;1;22,2;19,98
V00125;2023-06-20;Online;ONLINE;ONLINE;8019;C0631;3;3;44,15;42,51
V00126;2022-09-09;Tienda física;T002;E0008;28115;SIN_REGISTRO;3;6;165,5;159,54
V00127;2023-12-02;Tienda física;T007;E0039;41038;C0171;1;2;31,28;26,59
V00128;2023-09-20;Tienda física;T002;E0010;28115;C0300;4;6;183,75;179,47
V00129;2023-07-02;Online;ONLINE;ONLINE;28079;C0377;1;2;58,36;58,36
V00130;2023-04-10;Online;ONLINE;ONLINE;29067;C0562;2;3;96,59;86,94
V00131;2023-08-11;Tienda física;T007;E0036;47186;C0370;1;2;24,2;20,57
V00132;2023-03-08;Online;ONLINE;ONLINE;;SIN_REGISTRO;2;3;51,3;51,3
V00133;2022-10-24;Tienda física;T010;E0050;41091;C0502;1;1;18,94;18,94
V00134;2023-12-13;Tienda física;T002;E0012;41038;C0327;1;1;18,66;16,79
V00135;2023-08-01;Online;ONLINE;ONLINE;41091;C0125;3;3;92,38;91,22
V00136;2023-10-07;Tienda física;T012;E0062;46192;C0271;7;14;374,83;354,57
V00137;2023-08-10;Online;ONLINE;ONLINE;28006;C0111;2;3;43,11;43,11
V00138;2023-10-02;Tienda física;T005;E0028;47186;C0023;2;2;30,2;30,2
V00139;2023-05-12;Tienda física;T001;E0003;47186;C0388;2;3;55,56;53,6
V00140;2023-06-02;Tienda física;T003;E0017;8019;C0425;1;2;30,84;30,84
V00141;2022-09-16;Online;ONLINE;ONLINE;;SIN_REGISTRO;1;2;24,84;24,84
V00142;2022-10-09;Tienda física;T003;E0015;41091;C0011;1;1;21,19;21,19
V00143;2022-04-25;Online;ONLINE;ONLINE;28074;C0716;1;1;15,13;13,62
V00144;2023-08-29;Online;ONLINE;ONLINE;41059;C0339;1;2;43,36;36,86
V00145;2023-11-06;Tienda física;T004;E0020;28006;C0396;1;2;36,08;34,28
V00146;2022-06-29;Tienda física;T007;E0038;41038;C0044;2;3;37,53;37,53
V00147;2023-05-12;Tienda física;T010;E0050;41059;C0315;2;5;183,15;179,79
V00148;2022-12-18;Tienda física;T011;E0057;28006;C0779;1;2;42,12;42,12
V00149;2023-09-02;Online;ONLINE;ONLINE;41059;C0035;3;5;120,3;117,38
V00150;2023-02-27;Tienda física;T011;E0060;50297;SIN_REGISTRO;1;1;20,45;19,43
V00151;2023-11-08;Online;ONLINE;ONLINE;46250;C0060;4;4;84,52;81,01
V00152;2022-08-04;Tienda física;T006;E0031;41059;C0218;2;2;49,59;47,74
V00153;2022-02-25;Online;ONLINE;ONLINE;48020;C0599;4;6;176,2;164,11
V00154;2022-04-29;Online;ONLINE;ONLINE;50297;C0079;1;1;18,04;18,04
V00155;2023-04-21;Tienda física;T007;E0039;46250;SIN_REGISTRO;1;1;17;16,15
V00156;2022-11-05;Tienda física;T010;E0053;41091;C0319;1;1;23,05;21,9
V00157;2023-01-24;Online;ONLINE;ONLINE;41038;C0598;1;2;31,42;26,71
V00158;2023-05-01;Tienda física;T004;E0018;41059;C0228;2;2;78,53;78,53
V00159;2023-06-28;Tienda física;T001;E0001;29069;C0024;1;1;22,59;21,46
V00160;2022-10-23;Tienda física;T004;E0018;28115;C0320;1;1;29,15;27,69
V00161;2023-11-26;Online;ONLINE;ONLINE;28115;C0675;2;2;33,51;33,51
V00162;2022-04-10;Online;ONLINE;ONLINE;41059;C0032;2;5;139,54;125,58
V00163;2023-03-19;Tienda física;T004;E0019;47186;C0595;2;2;37,37;36,12
V00164;2022-12-10;Online;ONLINE;ONLINE;28074;C0731;2;4;47,25;47,25
V00165;2022-04-11;Tienda física;T011;E0058;8019;C0355;1;1;9,83;9,83
V00166;2023-04-18;Online;ONLINE;ONLINE;28115;C0794;1;3;66,63;56,64
V00167;2023-11-20;Tienda física;T010;E0051;48044;C0190;2;3;85,78;81,61
V00168;2023-06-17;Tienda física;T008;E0041;48020;SIN_REGISTRO;2;5;100,77;100,77
V00169;2022-11-17;Online;ONLINE;ONLINE;8019;C0282;1;3;49,8;44,82
V00170;2023-11-20;Tienda física;T011;E0059;48020;C0364;4;5;105,43;101,51
V00171;2022-01-13;Tienda física;T010;E0051;29067;C0275;1;2;18,4;17,48
V00172;2023-06-22;Online;ONLINE;ONLINE;29067;C0661;5;7;108,91;105,52
V00173;2022-12-26;Online;ONLINE;ONLINE;8015;C0397;5;5;104,67;102,17
V00174;2022-09-15;Tienda física;T008;E0041;48044;C0003;2;3;65,37;62,7
V00175;2022-01-25;Online;ONLINE;ONLINE;29069;C0278;2;2;59,99;57,91
V00176;2022-02-28;Online;ONLINE;ONLINE;28079;C0304;3;4;59,28;56,5
V00177;2023-09-06;Online;ONLINE;ONLINE;29069;C0639;1;2;47,7;40,55
V00178;2023-12-27;Tienda física;T003;E0016;28115;C0783;1;1;30,39;30,39
V00179;2023-09-12;Tienda física;T003;E0017;28079;SIN_REGISTRO;1;2;35,56;35,56
V00180;2023-11-04;Tienda física;T012;E0062;8019;C0016;1;3;36,33;30,88
V00181;2022-04-24;Tienda física;T005;E0027;48044;C0511;3;4;70,92;65,51
V00182;2022-09-17;Tienda física;T012;E0061;28006;SIN_REGISTRO;7;11;444,48;427,68
V00183;2023-11-08;Online;ONLINE;ONLINE;28115;C0783;2;2;64,32;60,05
V00184;2022-10-11;Online;ONLINE;ONLINE;29069;C0541;1;1;17,05;16,2
V00185;2022-09-21;Online;ONLINE;ONLINE;29069;C0204;3;5;84,51;84,51
V00186;2022-10-11;Tienda física;T011;E0058;28115;C0240;1;2;78,22;78,22
V00187;2023-02-02;Online;ONLINE;ONLINE;28006;C0628;1;1;20,66;20,66
V00188;2022-09-22;Tienda física;T004;E0019;41091;C0578;1;2;27,86;27,86
V00189;2023-03-28;Online;ONLINE;ONLINE;8015;C0662;2;3;42,97;42,97
V00190;2022-07-25;Tienda física;T010;E0055;48044;C0772;1;1;15,08;13,57
V00191;2022-07-02;Tienda física;T009;E0046;46250;C0735;1;2;24,98;21,23
V00192;2022-04-22;Online;ONLINE;ONLINE;8019;C0386;1;3;52,71;52,71
V00193;2022-08-12;Online;ONLINE;ONLINE;48044;C0772;2;3;71,04;65,29
V00194;2023-03-29;Tienda física;T007;E0039;46192;C0561;1;1;16,47;14
V00195;2022-04-16;Tienda física;T007;E0037;47186;C0262;6;10;219,62;207,11
V00196;2022-03-14;Online;ONLINE;ONLINE;41091;C0438;2;5;54,67;49,2
V00197;2023-04-02;Online;ONLINE;ONLINE;29067;C0691;1;2;41,66;41,66
V00198;2022-06-02;Tienda física;T006;E0030;50297;C0407;1;2;51,76;44
V00199;2022-02-08;Tienda física;T006;E0034;41091;SIN_REGISTRO;2;3;59,29;52,1
V00200;2022-09-30;Online;ONLINE;ONLINE;;SIN_REGISTRO;1;1;38,99;38,99
V00201;2023-02-05;Tienda física;T008;E0040;41091;C0644;2;3;61,53;56,92
V00202;2023-06-12;Tienda física;T010;E0052;47186;C0292;2;6;100,95;95,15
V00203;2023-05-05;Tienda física;T002;E0008;8015;C0441;7;8;146,25;140,53
V00204;2022-03-13;Tienda física;T002;E0010;48044;C0297;3;4;107,75;104,91
V00205;2022-01-04;Tienda física;T007;E0038;48044;C0596;1;4;78,2;74,29
V00206;2022-05-05;Online;ONLINE;ONLINE;;SIN_REGISTRO;2;2;33,48;32,22
V00207;2022-12-08;Tienda física;T008;E0042;28074;C0208;2;5;113,4;107,18
V00208;2023-02-15;Tienda física;T003;E0017;28006;C0665;1;1;19,66;19,66
V00209;2023-01-10;Online;ONLINE;ONLINE;8015;C0476;8;9;192,84;188
V00210;2022-03-24;Online;ONLINE;ONLINE;50297;C0030;1;2;25,7;24,41
V00211;2023-10-26;Online;ONLINE;ONLINE;41038;C0107;1;1;26,96;26,96
V00212;2023-07-22;Online;ONLINE;ONLINE;47186;C0095;2;2;24,49;24,49
V00213;2023-11-08;Tienda física;T001;E0004;29069;C0586;2;3;35,88;35,25
V00214;2023-12-14;Tienda física;T007;E0038;28079;C0597;2;4;102,08;98,81
V00215;2023-10-08;Tienda física;T010;E0052;50297;C0167;2;2;47,89;45,31
V00216;2023-05-14;Tienda física;T001;E0005;46192;C0509;1;3;56,28;56,28
V00217;2022-07-14;Online;ONLINE;ONLINE;8019;C0268;1;3;67,56;67,56
V00218;2022-07-17;Online;ONLINE;ONLINE;46250;C0659;1;1;23,39;23,39
V00219;2023-05-16;Tienda física;T005;E0025;8019;SIN_REGISTRO;2;4;105,84;101,67
V00220;2023-07-08;Tienda física;T009;E0047;48044;SIN_REGISTRO;2;3;29,42;25,59
V00221;2023-05-27;Tienda física;T010;E0050;28115;C0614;2;4;72,64;65,37
V00222;2022-01-17;Tienda física;T001;E0003;46250;C0207;1;1;12,7;12,7
V00223;2022-02-27;Tienda física;T010;E0055;28006;C0444;5;5;112,14;111,18
V00224;2023-02-20;Tienda física;T012;E0064;8019;C0109;1;2;61,7;61,7
V00225;2023-11-01;Tienda física;T003;E0017;28065;C0593;1;1;12,45;10,58
V00226;2023-11-26;Tienda física;T011;E0057;47186;C0601;1;3;44,31;39,88
V00227;2023-08-17;Online;ONLINE;ONLINE;8019;C0479;2;2;38,14;36,34
V00228;2022-02-07;Online;ONLINE;ONLINE;28074;C0630;2;3;54,29;47,14
V00229;2023-05-16;Tienda física;T011;E0058;8019;C0727;2;2;61,25;58,67
V00230;2023-04-28;Tienda física;T003;E0015;28006;C0288;2;2;34,29;32,8
V00231;2022-09-06;Online;ONLINE;ONLINE;48020;C0201;2;2;60,71;53,68
V00232;2022-01-15;Tienda física;T001;E0006;50297;C0260;1;2;43,28;43,28
V00233;2022-11-11;Tienda física;T010;E0055;29069;SIN_REGISTRO;2;2;45,44;45,44
V00234;2023-09-18;Tienda física;T004;E0020;8015;C0724;1;1;34,37;34,37
V00235;2022-04-19;Online;ONLINE;ONLINE;47186;C0292;2;2;38,03;36,71
V00236;2023-09-02;Online;ONLINE;ONLINE;48020;C0068;3;5;103,1;94,12
V00237;2022-03-06;Online;ONLINE;ONLINE;50297;C0299;5;9;201,4;190,26
V00238;2022-12-12;Online;ONLINE;ONLINE;48044;C0798;1;3;78,21;66,48
V00239;2022-11-29;Tienda física;T002;E0007;8015;C0309;2;2;32,9;32,03
V00240;2022-11-26;Tienda física;T005;E0027;29067;C0129;3;5;93,54;91,69
V00241;2023-08-31;Tienda física;T002;E0008;46250;C0732;1;1;17,18;17,18
V00242;2022-03-06;Tienda física;T007;E0036;50297;C0295;2;2;35,99;33,49
V00243;2022-05-25;Online;ONLINE;ONLINE;;SIN_REGISTRO;3;6;189,56;186,68
V00244;2023-12-15;Online;ONLINE;ONLINE;28115;C0675;1;1;35,89;35,89
V00245;2023-03-26;Online;ONLINE;ONLINE;;SIN_REGISTRO;2;4;54,41;54,41
V00246;2022-05-17;Tienda física;T011;E0059;50297;SIN_REGISTRO;2;3;60,59;60,59
V00247;2022-06-11;Online;ONLINE;ONLINE;28065;C0432;5;8;182,79;177,92
V00248;2022-03-24;Tienda física;T001;E0003;28079;SIN_REGISTRO;2;3;56,01;56,01
V00249;2022-07-03;Online;ONLINE;ONLINE;48044;C0314;1;1;27,59;27,59
V00250;2023-03-03;Tienda física;T003;E0017;41091;C0263;2;3;103,29;100,39
V00251;2023-12-10;Tienda física;T005;E0025;8019;C0268;2;2;47,7;46,05
V00252;2022-05-27;Online;ONLINE;ONLINE;28006;C0665;1;1;17,55;14,92
V00253;2023-06-20;Tienda física;T005;E0028;46192;C0509;2;3;71,36;69,81
V00254;2022-09-02;Tienda física;T009;E0049;8019;C0174;1;1;29,34;29,34
V00255;2023-09-03;Tienda física;T007;E0037;48020;C0329;6;6;119,81;117,27
V00256;2023-09-19;Tienda física;T006;E0030;41038;C0486;2;2;41,13;41,13
V00257;2022-12-23;Online;ONLINE;ONLINE;47186;C0262;4;5;136,45;128,82
V00258;2023-07-26;Online;ONLINE;ONLINE;;SIN_REGISTRO;1;1;20,61;20,61
V00259;2022-05-01;Online;ONLINE;ONLINE;;SIN_REGISTRO;3;3;69,98;62,98
V00260;2023-09-26;Online;ONLINE;ONLINE;8019;C0556;6;9;181,2;171,83
V00261;2023-04-21;Online;ONLINE;ONLINE;48020;C0362;4;7;116,82;107,02
V00262;2022-10-11;Tienda física;T009;E0048;8015;C0441;2;3;36,29;36,29
V00263;2022-04-26;Online;ONLINE;ONLINE;41038;C0598;1;2;27,74;27,74
V00264;2023-05-25;Tienda física;T012;E0063;28065;C0780;2;2;41,57;41,57
V00265;2023-11-18;Online;ONLINE;ONLINE;46192;C0007;2;2;33,93;32,85
V00266;2023-10-23;Online;ONLINE;ONLINE;;SIN_REGISTRO;6;7;241,97;240,15
V00267;2022-08-03;Online;ONLINE;ONLINE;48020;C0353;3;4;55,02;54,5
V00268;2022-12-09;Tienda física;T010;E0053;8019;C0667;2;3;61,13;56,26
V00269;2022-02-14;Tienda física;T012;E0065;48020;C0220;1;1;14,73;14,73
V00270;2023-07-05;Online;ONLINE;ONLINE;8019;C0714;2;6;83,13;83,13
V00271;2022-01-30;Tienda física;T002;E0008;47186;C0463;1;2;25,72;24,43
V00272;2022-03-14;Tienda física;T001;E0003;8015;C0446;2;2;56,2;54,07
V00273;2023-08-30;Tienda física;T010;E0053;28079;C0597;1;1;14,56;13,1
V00274;2023-03-06;Tienda física;T003;E0016;48044;C0503;1;2;28,34;28,34
V00275;2022-08-24;Tienda física;T005;E0028;8015;C0381;1;2;57,78;57,78
V00276;2022-08-22;Tienda física;T003;E0015;8019;C0335;5;9;234,91;233,24
V00277;2023-02-27;Online;ONLINE;ONLINE;28079;C0385;1;1;18,51;18,51
V00278;2022-08-14;Online;ONLINE;ONLINE;28006;C0688;1;2;37,98;37,98
V00279;2023-08-23;Tienda física;T004;E0020;8019;C0714;4;6;85;80,01
V00280;2023-03-23;Tienda física;T004;E0021;50297;C0594;5;5;126,66;126,66
V00281;2023-09-17;Online;ONLINE;ONLINE;50297;C0566;2;4;64,34;61,12
V00282;2023-02-01;Online;ONLINE;ONLINE;8019;C0268;1;1;30,51;30,51
V00283;2023-04-14;Online;ONLINE;ONLINE;8015;C0046;1;2;47,7;40,55
V00284;2023-10-10;Online;ONLINE;ONLINE;28079;C0336;1;1;30,58;30,58
V00285;2022-07-27;Online;ONLINE;ONLINE;29067;C0351;2;2;28,27;26,96
V00286;2022-02-02;Tienda física;T008;E0045;48044;C0482;3;4;81,72;74,85
V00287;2022-10-15;Tienda física;T011;E0060;28074;C0457;1;1;15,45;15,45
V00288;2023-04-22;Online;ONLINE;ONLINE;;SIN_REGISTRO;3;4;127,18;124,84
V00289;2022-06-25;Online;ONLINE;ONLINE;28079;C0086;3;4;186,02;186,02
V00290;2022-10-30;Tienda física;T002;E0013;28074;C0773;5;8;168,5;152,86
V00291;2023-10-16;Tienda física;T011;E0060;28115;C0537;1;2;30,46;27,41
V00292;2023-08-15;Online;ONLINE;ONLINE;;SIN_REGISTRO;1;1;27,01;24,31
V00293;2022-03-30;Online;ONLINE;ONLINE;;SIN_REGISTRO;2;3;112,03;110,98
V00294;2022-08-10;Online;ONLINE;ONLINE;;SIN_REGISTRO;1;2;72,26;65,03
V00295;2023-04-19;Tienda física;T003;E0017;41091;C0692;3;3;68,73;66,52
V00296;2023-03-15;Online;ONLINE;ONLINE;28065;C0137;3;4;49,3;46,73
V00297;2022-09-11;Online;ONLINE;ONLINE;48044;C0568;4;6;258,38;249,64
V00298;2023-08-17;Tienda física;T009;E0047;41059;C0059;3;3;58,24;57,62
V00299;2023-08-11;Online;ONLINE;ONLINE;28065;C0564;3;3;72,38;72,38
V00300;2022-02-15;Tienda física;T002;E0010;8019;C0148;1;1;11,25;11,25
V00301;2023-06-01;Tienda física;T005;E0027;28079;C0336;7;11;324,37;318,88
V00302;2023-06-28;Tienda física;T007;E0036;46250;SIN_REGISTRO;2;5;79,6;75,62
V00303;2023-12-15;Tienda física;T001;E0003;28115;C0286;2;2;50,87;50,87
V00304;2023-05-23;Online;ONLINE;ONLINE;28079;C0026;5;8;165,45;165,45
V00305;2023-07-26;Online;ONLINE;ONLINE;46192;C0460;3;4;81,2;77,66
V00306;2022-08-12;Tienda física;T003;E0014;48044;C0258;1;1;21,47;21,47
V00307;2022-10-30;Tienda física;T008;E0045;47186;C0572;2;3;83,86;80,72
V00308;2022-01-17;Online;ONLINE;ONLINE;47186;C0653;1;1;32,35;30,73
V00309;2022-06-15;Online;ONLINE;ONLINE;50297;C0168;1;1;21,04;17,88
V00310;2023-08-08;Tienda física;T004;E0020;41038;C0105;3;4;63,41;58,17
V00311;2023-04-11;Online;ONLINE;ONLINE;46250;C0207;2;5;123,67;117,48
