linea_id;venta_id;num_linea;isbn;categoria;precio_unitario;unidades;importe_bruto;descuento_pct;importe_neto
L018082;V08010;1;978-743-196-6499-9;Historia;22,5;2;45,0;0,05;42,75
L018083;V08011;1;978-387-548-2312-7;Ciencia y Tecnología;47,21;3;141,63;0;141,63
L018084;V08012;1;978-300-553-5220-8;Autoayuda;15,3;1;15,3;0,15;13,01
L018085;V08012;2;978-232-161-3242-4;Ficción;13,56;3;40,68;0;40,68
L018086;V08013;1;978-758-946-3611-4;Idiomas;21,44;1;21,44;0,2;17,15
L018087;V08013;2;978-822-977-7530-7;Autoayuda;20,14;1;20,14;0;20,14
L018088;V08013;3;978-301-255-8560-2;Cómics/Manga;10,17;3;30,51;0,1;27,46
L018089;V08014;1;978-182-221-3353-4;Cómics/Manga;15,79;3;47,37;0;47,37
L018090;V08014;2;978-387-548-2312-7;Ciencia y Tecnología;47,21;3;141,63;0,05;134,55
L018091;V08014;3;978-676-773-2135-1;Arte y Fotografía;40,44;2;80,88;0,05;76,84
L018092;V08014;4;978-141-841-6955-2;Ciencia y Tecnología;31,61;2;63,22;0,15;53,74
L018093;V08014;5;978-158-613-5713-0;Ciencia y Tecnología;49,92;2;99,84;0;99,84
L018094;V08015;1;978-743-196-6499-9;Historia;22,5;3;67,5;0;67,5
L018095;V08015;2;978-822-977-7530-7;Autoayuda;20,14;1;20,14;0;20,14
L018096;V08015;3;978-664-980-6087-1;Ficción;16,8;1;16,8;0,05;15,96
L018097;V08015;4;978-862-188-5114-6;Autoayuda;15,81;1;15,81;0,15;13,44
L018098;V08015;5;978-166-573-9497-3;Ficción;13,23;1;13,23;0,05;12,57
L018099;V08016;1;978-725-520-8862-0;Autoayuda;17,45;1;17,45;0;17,45
L018100;V08016;2;978-822-977-7530-7;Autoayuda;20,14;3;60,42;0,1;54,38
L018101;V08016;3;978-381-226-9068-6;Infantil/Juvenil;12,95;2;25,9;0,1;23,31
L018102;V08016;4;978-141-841-6955-2;Ciencia y Tecnología;31,61;2;63,22;0,1;56,9
L018103;V08016;5;978-158-613-5713-0;Ciencia y Tecnología;49,92;3;149,76;0;149,76
L018104;V08017;1;978-121-212-1381-2;Economía/Negocios;29,1;1;29,1;0,15;24,73
L018105;V08017;2;978-822-977-7530-7;Autoayuda;20,14;2;40,28;0;40,28
L018106;V08017;3;978-158-613-5713-0;Ciencia y Tecnología;49,92;2;99,84;0;99,84
L018107;V08018;1;978-743-196-6499-9;Historia;22,5;1;22,5;0;22,5
L018108;V08019;1;978-638-931-9804-9;Autoayuda;13,74;1;13,74;0,1;12,37
L018109;V08019;2;978-301-255-8560-2;Cómics/Manga;10,17;1;10,17;0,1;9,15
L018110;V08020;1;978-725-520-8862-0;Autoayuda;17,45;1;17,45;0,2;13,96
L018111;V08020;2;978-300-553-5220-8;Autoayuda;15,3;3;45,9;0,15;39,02
L018112;V08020;3;978-158-613-5713-0;Ciencia y Tecnología;49,92;1;49,92;0,05;47,42
L018113;V08020;4;978-758-946-3611-4;Idiomas;21,44;1;21,44;0;21,44
L018114;V08020;5;978-743-196-6499-9;Historia;22,5;3;67,5;0,1;60,75
L018115;V08021;1;978-182-221-3353-4;Cómics/Manga;15,79;1;15,79;0,2;12,63
L018116;V08022;1;978-664-980-6087-1;Ficción;16,8;3;50,4;0;50,4
L018117;V08022;2;978-301-255-8560-2;Cómics/Manga;10,17;2;20,34;0,2;16,27
L018118;V08023;1;978-387-548-2312-7;Ciencia y Tecnología;47,21;1;47,21;0,05;44,85
L018119;V08023;2;978-638-931-9804-9;Autoayuda;13,74;2;27,48;0,05;26,11
L018120;V08024;1;978-158-613-5713-0;Ciencia y Tecnología;49,92;1;49,92;0;49,92
L018121;V08024;2;978-676-773-2135-1;Arte y Fotografía;40,44;2;80,88;0,05;76,84
L018122;V08024;3;978-387-548-2312-7;Ciencia y Tecnología;47,21;1;47,21;0,1;42,49
L018123;V08024;4;978-300-553-5220-8;Autoayuda;15,3;3;45,9;0,05;43,6
L018124;V08024;5;978-232-161-3242-4;Ficción;13,56;3;40,68;0,15;34,58
L018125;V08025;1;978-121-212-1381-2;Economía/Negocios;29,1;1;29,1;0,05;27,64
L018126;V08025;2;978-381-226-9068-6;Infantil/Juvenil;12,95;2;25,9;0,2;20,72
L018127;V08025;3;978-743-196-6499-9;Historia;22,5;1;22,5;0,05;21,38
L018128;V08026;1;978-141-841-6955-2;Ciencia y Tecnología;31,61;2;63,22;0;63,22
L018129;V08027;1;978-182-221-3353-4;Cómics/Manga;15,79;3;47,37;0,1;42,63
L018130;V08027;2;978-503-296-7936-9;No Ficción;20,65;3;61,95;0;61,95
L018131;V08027;3;978-743-196-6499-9;Historia;22,5;1;22,5;0;22,5
L018132;V08028;1;978-300-553-5220-8;Autoayuda;15,3;1;15,3;0,05;14,54
L018133;V08028;2;978-301-255-8560-2;Cómics/Manga;10,17;1;10,17;0;10,17
L018134;V08028;3;978-758-946-3611-4;Idiomas;21,44;3;64,32;0;64,32
L018135;V08028;4;978-232-161-3242-4;Ficción;13,56;2;27,12;0,15;23,05
L018136;V08029;1;978-141-841-6955-2;Ciencia y Tecnología;31,61;1;31,61;0,05;30,03
L018137;V08029;2;978-862-188-5114-6;Autoayuda;15,81;2;31,62;0;31,62
L018138;V08030;1;978-725-520-8862-0;Autoayuda;17,45;1;17,45;0;17,45
L018139;V08031;1;978-158-613-5713-0;Ciencia y Tecnología;49,92;2;99,84;0,05;94,85
L018140;V08032;1;978-239-793-2478-9;Ficción;18,14;3;54,42;0,05;51,7
L018141;V08032;2;978-862-188-5114-6;Autoayuda;15,81;1;15,81;0;15,81
L018142;V08032;3;978-121-212-1381-2;Economía/Negocios;29,1;3;87,3;0,1;78,57
L018143;V08032;4;978-387-548-2312-7;Ciencia y Tecnología;47,21;2;94,42;0,05;89,7
L018144;V08032;5;978-182-221-3353-4;Cómics/Manga;15,79;2;31,58;0,2;25,26
L018145;V08033;1;978-141-841-6955-2;Ciencia y Tecnología;31,61;1;31,61;0,15;26,87
L018146;V08034;1;978-381-226-9068-6;Infantil/Juvenil;12,95;3;38,85;0,05;36,91
L018147;V08034;2;978-239-793-2478-9;Ficción;18,14;3;54,42;0,05;51,7
L018148;V08034;3;978-121-212-1381-2;Economía/Negocios;29,1;3;87,3;0,1;78,57
L018149;V08035;1;978-182-221-3353-4;Cómics/Manga;15,79;3;47,37;0;47,37
L018150;V08035;2;978-664-980-6087-1;Ficción;16,8;2;33,6;0,05;31,92
L018151;V08035;3;978-758-946-3611-4;Idiomas;21,44;1;21,44;0,1;19,3
L018152;V08035;4;978-638-931-9804-9;Autoayuda;13,74;3;41,22;0,2;32,98
L018153;V08036;1;978-676-773-2135-1;Arte y Fotografía;40,44;3;121,32;0;121,32
L018154;V08036;2;978-725-520-8862-0;Autoayuda;17,45;3;52,35;0;52,35
L018155;V08037;1;978-758-946-3611-4;Idiomas;21,44;1;21,44;0;21,44
L018156;V08037;2;978-822-977-7530-7;Autoayuda;20,14;1;20,14;0;20,14
L018157;V08038;1;978-158-613-5713-0;Ciencia y Tecnología;49,92;1;49,92;0;49,92
L018158;V08038;2;978-638-931-9804-9;Autoayuda;13,74;1;13,74;0,1;12,37
L018159;V08038;3;978-725-520-8862-0;Autoayuda;17,45;1;17,45;0;17,45
L018160;V08038;4;978-664-980-6087-1;Ficción;16,8;3;50,4;0,15;42,84
L018161;V08038;5;978-822-977-7530-7;Autoayuda;20,14;2;40,28;0;40,28
L018162;V08039;1;978-503-296-7936-9;No Ficción;20,65;3;61,95;0,2;49,56
L018163;V08039;2;978-676-773-2135-1;Arte y Fotografía;40,44;2;80,88;0,1;72,79
L018164;V08040;1;978-725-520-8862-0;Autoayuda;17,45;2;34,9;0;34,9
L018165;V08040;2;978-503-296-7936-9;No Ficción;20,65;3;61,95;0,05;58,85
L018166;V08041;1;978-822-977-7530-7;Autoayuda;20,14;2;40,28;0,15;34,24
L018167;V08041;2;978-387-548-2312-7;Ciencia y Tecnología;47,21;1;47,21;0;47,21
L018168;V08041;3;978-239-793-2478-9;Ficción;18,14;1;18,14;0;18,14
L018169;V08042;1;978-743-196-6499-9;Historia;22,5;1;22,5;0;22,5
L018170;V08042;2;978-503-296-7936-9;No Ficción;20,65;2;41,3;0,1;37,17
L018171;V08042;3;978-141-841-6955-2;Ciencia y Tecnología;31,61;3;94,83;0;94,83
L018172;V08043;1;978-638-931-9804-9;Autoayuda;13,74;3;41,22;0,15;35,04
L018173;V08043;2;978-141-841-6955-2;Ciencia y Tecnología;31,61;3;94,83;0;94,83
L018174;V08043;3;978-743-196-6499-9;Historia;22,5;2;45,0;0;45,0
L018175;V08044;1;978-182-221-3353-4;Cómics/Manga;15,79;2;31,58;0,2;25,26
L018176;V08044;2;978-503-296-7936-9;No Ficción;20,65;3;61,95;0;61,95
L018177;V08044;3;978-300-553-5220-8;Autoayuda;15,3;1;15,3;0,1;13,77
L018178;V08044;4;978-862-188-5114-6;Autoayuda;15,81;1;15,81;0,1;14,23
L018179;V08045;1;978-503-296-7936-9;No Ficción;20,65;2;41,3;0,1;37,17
L018180;V08045;2;978-239-793-2478-9;Ficción;18,14;2;36,28;0,1;32,65
L018181;V08046;1;978-822-977-7530-7;Autoayuda;20,14;1;20,14;0;20,14
L018182;V08046;2;978-166-573-9497-3;Ficción;13,23;1;13,23;0;13,23
L018183;V08046;3;978-301-255-8560-2;Cómics/Manga;10,17;3;30,51;0;30,51
L018184;V08047;1;978-503-296-7936-9;No Ficción;20,65;2;41,3;0;41,3
L018185;V08047;2;978-387-548-2312-7;Ciencia y Tecnología;47,21;3;141,63;0,2;113,3
L018186;V08048;1;978-664-980-6087-1;Ficción;16,8;3;50,4;0;50,4
L018187;V08048;2;978-638-931-9804-9;Autoayuda;13,74;1;13,74;0,2;10,99
L018188;V08048;3;978-381-226-9068-6;Infantil/Juvenil;12,95;3;38,85;0;38,85
L018189;V08049;1;978-141-841-6955-2;Ciencia y Tecnología;31,61;1;31,61;0,1;28,45
L018190;V08049;2;978-232-161-3242-4;Ficción;13,56;2;27,12;0;27,12
L018191;V08049;3;978-166-573-9497-3;Ficción;13,23;2;26,46;0,05;25,14
L018192;V08049;4;978-676-773-2135-1;Arte y Fotografía;40,44;3;121,32;0,1;109,19
L018193;V08049;5;978-239-793-2478-9;Ficción;18,14;3;54,42;0;54,42
L018194;V08050;1;978-381-226-9068-6;Infantil/Juvenil;12,95;2;25,9;0,1;23,31
L018195;V08050;2;978-743-196-6499-9;Historia;22,5;3;67,5;0,2;54,0
L018196;V08050;3;978-725-520-8862-0;Autoayuda;17,45;2;34,9;0,05;33,15
L018197;V08051;1;978-664-980-6087-1;Ficción;16,8;2;33,6;0,05;31,92
L018198;V08051;2;978-638-931-9804-9;Autoayuda;13,74;1;13,74;0,1;12,37
L018199;V08051;3;978-239-793-2478-9;Ficción;18,14;1;18,14;0,05;17,23
L018200;V08051;4;978-862-188-5114-6;Autoayuda;15,81;2;31,62;0,05;30,04
L018201;V08052;1;978-166-573-9497-3;Ficción;13,23;3;39,69;0,1;35,72
L018202;V08052;2;978-822-977-7530-7;Autoayuda;20,14;2;40,28;0,15;34,24
L018203;V08053;1;978-758-946-3611-4;Idiomas;21,44;1;21,44;0,1;19,3
L018204;V08054;1;978-676-773-2135-1;Arte y Fotografía;40,44;3;121,32;0,1;109,19
L018205;V08054;2;978-232-161-3242-4;Ficción;13,56;2;27,12;0,05;25,76
L018206;V08054;3;978-141-841-6955-2;Ciencia y Tecnología;31,61;2;63,22;0;63,22
L018207;V08054;4;978-239-793-2478-9;Ficción;18,14;1;18,14;0;18,14
L018208;V08054;5;978-664-980-6087-1;Ficción;16,8;2;33,6;0;33,6
L018209;V08055;1;978-387-548-2312-7;Ciencia y Tecnología;47,21;1;47,21;0;47,21
L018210;V08055;2;978-664-980-6087-1;Ficción;16,8;2;33,6;0;33,6
L018211;V08055;3;978-676-773-2135-1;Arte y Fotografía;40,44;2;80,88;0;80,88
L018212;V08055;4;978-758-946-3611-4;Idiomas;21,44;2;42,88;0;42,88
L018213;V08056;1;978-725-520-8862-0;Autoayuda;17,45;1;17,45;0,2;13,96
L018214;V08056;2;978-121-212-1381-2;Economía/Negocios;29,1;2;58,2;0,1;52,38
L018215;V08057;1;978-166-573-9497-3;Ficción;13,23;2;26,46;0,1;23,81
L018216;V08058;1;978-166-573-9497-3;Ficción;13,23;3;39,69;0,1;35,72
L018217;V08058;2;978-822-977-7530-7;Autoayuda;20,14;3;60,42;0,2;48,34
L018218;V08058;3;978-121-212-1381-2;Economía/Negocios;29,1;3;87,3;0;87,3
L018219;V08059;1;978-141-841-6955-2;Ciencia y Tecnología;31,61;3;94,83;0;94,83
L018220;V08059;2;978-758-946-3611-4;Idiomas;21,44;2;42,88;0;42,88
L018221;V08059;3;978-301-255-8560-2;Cómics/Manga;10,17;1;10,17;0;10,17
L018222;V08059;4;978-121-212-1381-2;Economía/Negocios;29,1;1;29,1;0,15;24,73
L018223;V08059;5;978-158-613-5713-0;Ciencia y Tecnología;49,92;1;49,92;0;49,92
L018224;V08060;1;978-758-946-3611-4;Idiomas;21,44;3;64,32;0,1;57,89
L018225;V08060;2;978-381-226-9068-6;Infantil/Juvenil;12,95;1;12,95;0;12,95
L018226;V08061;1;978-121-212-1381-2;Economía/Negocios;29,1;2;58,2;0;58,2
L018227;V08061;2;978-743-196-6499-9;Historia;22,5;1;22,5;0;22,5
L018228;V08061;3;978-822-977-7530-7;Autoayuda;20,14;1;20,14;0,05;19,13
L018229;V08061;4;978-300-553-5220-8;Autoayuda;15,3;3;45,9;0,2;36,72
L018230;V08062;1;978-676-773-2135-1;Arte y Fotografía;40,44;2;80,88;0;80,88
L018231;V08062;2;978-743-196-6499-9;Historia;22,5;3;67,5;0;67,5
L018232;V08062;3;978-725-520-8862-0;Autoayuda;17,45;2;34,9;0,05;33,15
L018233;V08063;1;978-664-980-6087-1;Ficción;16,8;2;33,6;0,15;28,56
L018234;V08063;2;978-862-188-5114-6;Autoayuda;15,81;3;47,43;0,1;42,69
L018235;V08063;3;978-387-548-2312-7;Ciencia y Tecnología;47,21;2;94,42;0;94,42
L018236;V08063;4;978-301-255-8560-2;Cómics/Manga;10,17;3;30,51;0,1;27,46
L018237;V08063;5;978-182-221-3353-4;Cómics/Manga;15,79;3;47,37;0,1;42,63
L018238;V08064;1;978-239-793-2478-9;Ficción;18,14;3;54,42;0,1;48,98
L018239;V08064;2;978-141-841-6955-2;Ciencia y Tecnología;31,61;2;63,22;0,1;56,9
L018240;V08065;1;978-239-793-2478-9;Ficción;18,14;3;54,42;0;54,42
L018241;V08065;2;978-121-212-1381-2;Economía/Negocios;29,1;3;87,3;0,15;74,2
L018242;V08065;3;978-638-931-9804-9;Autoayuda;13,74;2;27,48;0,1;24,73
L018243;V08066;1;978-503-296-7936-9;No Ficción;20,65;3;61,95;0;61,95
L018244;V08066;2;978-301-255-8560-2;Cómics/Manga;10,17;2;20,34;0,1;18,31
L018245;V08066;3;978-158-613-5713-0;Ciencia y Tecnología;49,92;3;149,76;0,1;134,78
L018246;V08066;4;978-387-548-2312-7;Ciencia y Tecnología;47,21;1;47,21;0;47,21
L018247;V08067;1;978-743-196-6499-9;Historia;22,5;2;45,0;0;45,0
L018248;V08068;1;978-676-773-2135-1;Arte y Fotografía;40,44;2;80,88;0,1;72,79
L018249;V08068;2;978-387-548-2312-7;Ciencia y Tecnología;47,21;1;47,21;0,1;42,49
L018250;V08068;3;978-141-841-6955-2;Ciencia y Tecnología;31,61;3;94,83;0;94,83
L018251;V08069;1;978-166-573-9497-3;Ficción;13,23;2;26,46;0,05;25,14
L018252;V08069;2;978-387-548-2312-7;Ciencia y Tecnología;47,21;3;141,63;0,05;134,55
L018253;V08070;1;978-725-520-8862-0;Autoayuda;17,45;2;34,9;0,15;29,66
L018254;V08070;2;978-300-553-5220-8;Autoayuda;15,3;3;45,9;0,1;41,31
L018255;V08070;3;978-503-296-7936-9;No Ficción;20,65;2;41,3;0,05;39,23
L018256;V08070;4;978-381-226-9068-6;Infantil/Juvenil;12,95;1;12,95;0;12,95
L018257;V08070;5;978-232-161-3242-4;Ficción;13,56;3;40,68;0,1;36,61
L018258;V08071;1;978-638-931-9804-9;Autoayuda;13,74;1;13,74;0,15;11,68
L018259;V08071;2;978-300-553-5220-8;Autoayuda;15,3;3;45,9;0,05;43,6
L018260;V08071;3;978-725-520-8862-0;Autoayuda;17,45;1;17,45;0,1;15,71
L018261;V08071;4;978-301-255-8560-2;Cómics/Manga;10,17;1;10,17;0,15;8,64
L018262;V08072;1;978-166-573-9497-3;Ficción;13,23;2;26,46;0,05;25,14
L018263;V08072;2;978-725-520-8862-0;Autoayuda;17,45;3;52,35;0,1;47,12
L018264;V08073;1;978-638-931-9804-9;Autoayuda;13,74;1;13,74;0,05;13,05
L018265;V08073;2;978-239-793-2478-9;Ficción;18,14;1;18,14;0;18,14
L018266;V08073;3;978-725-520-8862-0;Autoayuda;17,45;2;34,9;0;34,9
L018267;V08073;4;978-301-255-8560-2;Cómics/Manga;10,17;3;30,51;0;30,51
L018268;V08073;5;978-166-573-9497-3;Ficción;13,23;2;26,46;0;26,46
L018269;V08074;1;978-301-255-8560-2;Cómics/Manga;10,17;2;20,34;0,1;18,31
L018270;V08074;2;978-758-946-3611-4;Idiomas;21,44;1;21,44;0;21,44
L018271;V08074;3;978-232-161-3242-4;Ficción;13,56;3;40,68;0,1;36,61
L018272;V08075;1;978-381-226-9068-6;Infantil/Juvenil;12,95;1;12,95;0,1;11,65
L018273;V08075;2;978-822-977-7530-7;Autoayuda;20,14;3;60,42;0,05;57,4
L018274;V08075;3;978-725-520-8862-0;Autoayuda;17,45;2;34,9;0,05;33,15
L018275;V08075;4;978-300-553-5220-8;Autoayuda;15,3;3;45,9;0;45,9
L018276;V08076;1;978-664-980-6087-1;Ficción;16,8;3;50,4;0,05;47,88
L018277;V08076;2;978-758-946-3611-4;Idiomas;21,44;2;42,88;0,05;40,74
L018278;V08076;3;978-141-841-6955-2;Ciencia y Tecnología;31,61;1;31,61;0,1;28,45
L018279;V08077;1;978-664-980-6087-1;Ficción;16,8;1;16,8;0,1;15,12
L018280;V08077;2;978-758-946-3611-4;Idiomas;21,44;2;42,88;0;42,88
L018281;V08077;3;978-381-226-9068-6;Infantil/Juvenil;12,95;3;38,85;0;38,85
L018282;V08078;1;978-158-613-5713-0;Ciencia y Tecnología;49,92;3;149,76;0;149,76
L018283;V08078;2;978-387-548-2312-7;Ciencia y Tecnología;47,21;3;141,63;0;141,63
L018284;V08079;1;978-166-573-9497-3;Ficción;13,23;2;26,46;0,1;23,81
L018285;V08079;2;978-758-946-3611-4;Idiomas;21,44;1;21,44;0;21,44
L018286;V08080;1;978-387-548-2312-7;Ciencia y Tecnología;47,21;2;94,42;0,05;89,7
L018287;V08080;2;978-725-520-8862-0;Autoayuda;17,45;1;17,45;0,1;15,71
L018288;V08081;1;978-743-196-6499-9;Historia;22,5;1;22,5;0,05;21,38
L018289;V08081;2;978-232-161-3242-4;Ficción;13,56;3;40,68;0;40,68
L018290;V08081;3;978-166-573-9497-3;Ficción;13,23;2;26,46;0,05;25,14
L018291;V08081;4;978-638-931-9804-9;Autoayuda;13,74;3;41,22;0,05;39,16
L018292;V08082;1;978-725-520-8862-0;Autoayuda;17,45;3;52,35;0,15;44,5
L018293;V08082;2;978-862-188-5114-6;Autoayuda;15,81;2;31,62;0,2;25,3
L018294;V08083;1;978-121-212-1381-2;Economía/Negocios;29,1;2;58,2;0,1;52,38
L018295;V08083;2;978-300-553-5220-8;Autoayuda;15,3;1;15,3;0;15,3
L018296;V08083;3;978-301-255-8560-2;Cómics/Manga;10,17;1;10,17;0,15;8,64
L018297;V08083;4;978-743-196-6499-9;Historia;22,5;1;22,5;0,1;20,25
L018298;V08084;1;978-300-553-5220-8;Autoayuda;15,3;2;30,6;0;30,6
L018299;V08084;2;978-141-841-6955-2;Ciencia y Tecnología;31,61;3;94,83;0,05;90,09
L018300;V08084;3;978-121-212-1381-2;Economía/Negocios;29,1;1;29,1;0,1;26,19
L018301;V08084;4;978-725-520-8862-0;Autoayuda;17,45;2;34,9;0;34,9
L018302;V08084;5;978-664-980-6087-1;Ficción;16,8;2;33,6;0;33,6
L018303;V08085;1;978-387-548-2312-7;Ciencia y Tecnología;47,21;1;47,21;0;47,21
L018304;V08085;2;978-158-613-5713-0;Ciencia y Tecnología;49,92;3;149,76;0,2;119,81
L018305;V08085;3;978-121-212-1381-2;Economía/Negocios;29,1;1;29,1;0;29,1
L018306;V08085;4;978-503-296-7936-9;No Ficción;20,65;2;41,3;0;41,3
L018307;V08086;1;978-158-613-5713-0;Ciencia y Tecnología;49,92;2;99,84;0;99,84
L018308;V08086;2;978-822-977-7530-7;Autoayuda;20,14;1;20,14;0,15;17,12
L018309;V08086;3;978-239-793-2478-9;Ficción;18,14;2;36,28;0;36,28
L018310;V08086;4;978-300-553-5220-8;Autoayuda;15,3;1;15,3;0;15,3
L018311;V08086;5;978-862-188-5114-6;Autoayuda;15,81;1;15,81;0;15,81
L018312;V08087;1;978-301-255-8560-2;Cómics/Manga;10,17;3;30,51;0;30,51
L018313;V08087;2;978-300-553-5220-8;Autoayuda;15,3;3;45,9;0;45,9
L018314;V08087;3;978-141-841-6955-2;Ciencia y Tecnología;31,61;2;63,22;0,1;56,9
L018315;V08088;1;978-676-773-2135-1;Arte y Fotografía;40,44;2;80,88;0,1;72,79
L018316;V08089;1;978-725-520-8862-0;Autoayuda;17,45;3;52,35;0,1;47,12
L018317;V08090;1;978-381-226-9068-6;Infantil/Juvenil;12,95;3;38,85;0,05;36,91
L018318;V08090;2;978-664-980-6087-1;Ficción;16,8;2;33,6;0,2;26,88
L018319;V08090;3;978-743-196-6499-9;Historia;22,5;3;67,5;0,05;64,12
L018320;V08091;1;978-158-613-5713-0;Ciencia y Tecnología;49,92;2;99,84;0,1;89,86
L018321;V08091;2;978-141-841-6955-2;Ciencia y Tecnología;31,61;2;63,22;0,1;56,9
L018322;V08091;3;978-503-296-7936-9;No Ficción;20,65;3;61,95;0;61,95
L018323;V08091;4;978-822-977-7530-7;Autoayuda;20,14;2;40,28;0,1;36,25
L018324;V08091;5;978-664-980-6087-1;Ficción;16,8;2;33,6;0,05;31,92
L018325;V08092;1;978-141-841-6955-2;Ciencia y Tecnología;31,61;1;31,61;0,05;30,03
L018326;V08093;1;978-141-841-6955-2;Ciencia y Tecnología;31,61;2;63,22;0,1;56,9
L018327;V08094;1;978-232-161-3242-4;Ficción;13,56;1;13,56;0;13,56
L018328;V08094;2;978-121-212-1381-2;Economía/Negocios;29,1;3;87,3;0,1;78,57
L018329;V08094;3;978-676-773-2135-1;Arte y Fotografía;40,44;1;40,44;0;40,44
L018330;V08095;1;978-141-841-6955-2;Ciencia y Tecnología;31,61;3;94,83;0,2;75,86
L018331;V08095;2;978-743-196-6499-9;Historia;22,5;3;67,5;0,15;57,38
L018332;V08096;1;978-239-793-2478-9;Ficción;18,14;1;18,14;0;18,14
L018333;V08096;2;978-232-161-3242-4;Ficción;13,56;3;40,68;0,1;36,61
L018334;V08096;3;978-862-188-5114-6;Autoayuda;15,81;1;15,81;0;15,81
L018335;V08097;1;978-141-841-6955-2;Ciencia y Tecnología;31,61;2;63,22;0,05;60,06
L018336;V08097;2;978-503-296-7936-9;No Ficción;20,65;3;61,95;0,05;58,85
L018337;V08097;3;978-239-793-2478-9;Ficción;18,14;3;54,42;0,2;43,54
L018338;V08097;4;978-182-221-3353-4;Cómics/Manga;15,79;1;15,79;0;15,79
L018339;V08098;1;978-387-548-2312-7;Ciencia y Tecnología;47,21;2;94,42;0,1;84,98
L018340;V08099;1;978-232-161-3242-4;Ficción;13,56;2;27,12;0;27,12
L018341;V08100;1;978-822-977-7530-7;Autoayuda;20,14;2;40,28;0,2;32,22
L018342;V08101;1;978-387-548-2312-7;Ciencia y Tecnología;47,21;2;94,42;0;94,42
L018343;V08101;2;978-758-946-3611-4;Idiomas;21,44;1;21,44;0,1;19,3
L018344;V08102;1;978-743-196-6499-9;Historia;22,5;2;45,0;0;45,0
L018345;V08102;2;978-232-161-3242-4;Ficción;13,56;2;27,12;0;27,12
L018346;V08102;3;978-166-573-9497-3;Ficción;13,23;2;26,46;0,2;21,17
L018347;V08102;4;978-638-931-9804-9;Autoayuda;13,74;2;27,48;0,2;21,98
L018348;V08102;5;978-301-255-8560-2;Cómics/Manga;10,17;2;20,34;0,1;18,31
L018349;V08103;1;978-381-226-9068-6;Infantil/Juvenil;12,95;3;38,85;0,05;36,91
L018350;V08103;2;978-503-296-7936-9;No Ficción;20,65;1;20,65;0,1;18,59
L018351;V08104;1;978-638-931-9804-9;Autoayuda;13,74;2;27,48;0,05;26,11
L018352;V08105;1;978-121-212-1381-2;Economía/Negocios;29,1;2;58,2;0;58,2
L018353;V08105;2;978-676-773-2135-1;Arte y Fotografía;40,44;1;40,44;0;40,44
L018354;V08105;3;978-664-980-6087-1;Ficción;16,8;1;16,8;0,05;15,96
L018355;V08105;4;978-158-613-5713-0;Ciencia y Tecnología;49,92;1;49,92;0;49,92
L018356;V08105;5;978-232-161-3242-4;Ficción;13,56;3;40,68;0;40,68
L018357;V08106;1;978-664-980-6087-1;Ficción;16,8;2;33,6;0;33,6
L018358;V08106;2;978-503-296-7936-9;No Ficción;20,65;2;41,3;0,1;37,17
