venta_id;fecha;canal;tienda_id;empleado_id;cod_municipio_venta_ine;cliente_id;total_lineas;total_unidades;importe_bruto_total;importe_neto_total
V08056;2025-05-12;Tienda física;T005;E0025;8019;C0300;2;3;75,65;66,34
V08057;2025-05-08;Tienda física;T003;E0014;28079;C0490;1;2;26,46;23,81
V08058;2025-05-02;Tienda física;T011;E0056;50297;C0577;3;9;187,41;171,36
V08059;2025-05-09;Online;ONLINE;ONLINE;48044;C0305;5;8;226,9;222,53
V08060;2025-05-01;Tienda física;T012;E0065;28006;C0034;2;4;77,27;70,84
V08061;2025-05-05;Tienda física;T011;E0060;50297;C0203;4;7;146,74;136,55
V08062;2025-05-05;Tienda física;T008;E0045;48020;C0413;3;7;183,28;181,53
V08063;2025-05-10;Online;ONLINE;ONLINE;28074;C0235;5;13;253,33;235,76
V08064;2025-05-02;Tienda física;T007;E0037;46250;C0108;2;5;117,64;105,88
V08065;2025-05-09;Online;ONLINE;ONLINE;28074;C0323;3;8;169,2;153,35
V08066;2025-05-01;Online;ONLINE;ONLINE;46250;C0638;4;9;279,26;262,25
V08067;2025-05-11;Tienda física;T004;E0023;8019;C0565;1;2;45,0;45,0
V08068;2025-05-04;Tienda física;T002;E0010;28115;C0511;3;6;222,92;210,11
V08069;2025-05-07;Online;ONLINE;ONLINE;8015;C0765;2;5;168,09;159,69
V08070;2025-05-01;Online;ONLINE;ONLINE;41091;C0602;5;11;175,73;159,76
V08071;2025-05-04;Tienda física;T007;E0035;46250;C0485;4;6;87,26;79,63
V08072;2025-05-08;Online;ONLINE;ONLINE;28115;C0420;2;5;78,81;72,26
V08073;2025-05-11;Online;ONLINE;ONLINE;46192;C0691;5;9;123,75;123,06
V08074;2025-05-12;Online;ONLINE;ONLINE;28006;C0048;3;6;82,46;76,36
V08075;2025-05-10;Tienda física;T003;E0015;28079;C0625;4;9;154,17;148,1
V08076;2025-05-08;Tienda física;T011;E0060;50297;C0453;3;6;124,89;117,07
V08077;2025-05-08;Online;ONLINE;ONLINE;47186;C0586;3;6;98,53;96,85
V08078;2025-05-10;Tienda física;T005;E0026;8019;C0361;2;6;291,39;291,39
V08079;2025-05-11;Tienda física;T005;E0028;8019;C0374;2;3;47,9;45,25
V08080;2025-05-03;Tienda física;T006;E0034;41091;C0280;2;3;111,87;105,41
V08081;2025-05-02;Online;ONLINE;ONLINE;41038;C0693;4;9;130,86;126,36
V08082;2025-05-10;Online;ONLINE;ONLINE;46250;C0111;2;5;83,97;69,8
V08083;2025-05-04;Tienda física;T011;E0059;41091;C0665;4;5;106,17;96,57
V08084;2025-05-08;Online;ONLINE;ONLINE;8019;C0430;5;10;223,03;215,38
V08085;2025-05-11;Online;ONLINE;ONLINE;46250;C0063;4;7;267,37;237,42
V08086;2025-05-03;Tienda física;T004;E0018;8019;C0213;5;7;187,37;184,35
V08087;2025-05-06;Tienda física;T004;E0022;8019;C0179;3;8;139,63;133,31
V08088;2025-05-06;Tienda física;T002;E0010;28115;C0630;1;2;80,88;72,79
V08089;2025-05-11;Tienda física;T001;E0004;48020;C0703;1;3;52,35;47,12
V08090;2025-05-02;Tienda física;T006;E0034;41091;C0130;3;8;139,95;127,91
V08091;2025-05-08;Tienda física;T007;E0035;46250;C0118;5;11;298,89;276,88
V08092;2025-05-06;Tienda física;T011;E0059;50297;C0088;1;1;31,61;30,03
V08093;2025-05-03;Tienda física;T010;E0054;29069;C0687;1;2;63,22;56,9
V08094;2025-05-12;Online;ONLINE;ONLINE;41091;C0615;3;5;141,3;132,57
V08095;2025-05-06;Tienda física;T006;E0030;41091;C0588;2;6;162,33;133,24
V08096;2025-05-01;Tienda física;T011;E0058;50297;C0280;3;5;74,63;70,56
V08097;2025-05-12;Tienda física;T001;E0001;28079;C0221;4;9;195,38;178,24
V08098;2025-05-03;Online;ONLINE;ONLINE;28065;C0691;1;2;94,42;84,98
V08099;2025-05-08;Tienda física;T007;E0037;46250;C0525;1;2;27,12;27,12
V08100;2025-05-05;Tienda física;T010;E0053;29069;C0316;1;2;40,28;32,22
V08101;2025-05-01;Online;ONLINE;ONLINE;41091;C0217;2;3;115,86;113,72
V08102;2025-05-12;Tienda física;T003;E0017;28079;C0236;5;10;146,4;133,58
V08103;2025-05-05;Online;ONLINE;ONLINE;28006;C0333;2;4;59,5;55,5
V08104;2025-05-02;Online;ONLINE;ONLINE;47186;C0537;1;2;27,48;26,11
V08105;2025-05-04;Online;ONLINE;ONLINE;29067;C0079;5;8;206,04;205,2
V08106;2025-05-11;Online;ONLINE;ONLINE;50297;C0476;5;10;189,62;173,01
V08107;2025-05-09;Online;ONLINE;ONLINE;48044;C0463;1;2;20,34;19,32
V08108;2025-05-02;Tienda física;T002;E0011;28115;C0394;4;8;136,39;124,34
V08109;2025-05-08;Online;ONLINE;ONLINE;46192;C0732;1;3;121,32;121,32
V08110;2025-05-01;Online;ONLINE;ONLINE;48044;C0450;5;7;169,96;150,53
V08111;2025-05-11;Online;ONLINE;ONLINE;41059;C0742;5;10;141,45;129,51
V08112;2025-05-03;Tienda física;T012;E0065;28006;C0687;4;6;142,86;142,18
V08113;2025-05-03;Online;ONLINE;ONLINE;28079;C0520;5;6;111,53;106,16
V08114;2025-05-08;Tienda física;T012;E0064;28006;C0245;3;7;179,31;156,15
V08115;2025-05-09;Tienda física;T003;E0015;28115;C0257;1;2;34,9;29,66
V08116;2025-05-02;Tienda física;T009;E0046;48044;C0782;2;5;182,93;182,93
V08117;2025-05-04;Tienda física;T006;E0030;41091;C0406;5;8;121,24;118,53
V08118;2025-05-08;Tienda física;T003;E0017;28079;C0006;1;2;31,62;31,62
V08119;2025-05-03;Tienda física;T012;E0065;28006;C0114;3;5;121,22;112,64
V08120;2025-05-02;Tienda física;T008;E0044;48020;C0648;5;10;219,25;206,56
