linea_id;venta_id;num_linea;isbn;categoria;precio_unitario;unidades;importe_bruto;descuento_pct;importe_neto
L000046;V00018;1;978-385-848-9584-8;Economía/Negocios;23,05;1;23,05;0;23,05
L000047;V00018;2;978-608-360-8841-1;Idiomas;41,68;1;41,68;0,05;39,6
L000048;V00019;1;978-907-199-1656-5;Ficción;14,52;1;14,52;0;14,52
L000049;V00020;1;978-338-859-7630-6;Infantil/Juvenil;12,71;1;12,71;0;12,71
L000050;V00020;2;978-568-296-5465-4;Economía/Negocios;25,28;1;25,28;0;25,28
L000051;V00020;3;978-905-417-7108-9;Autoayuda;16,25;1;16,25;0;16,25
L000052;V00020;4;978-772-661-8669-5;Historia;24,85;1;24,85;0,05;23,61
L000053;V00021;1;978-456-727-5246-1;Ciencia y Tecnología;39,49;1;39,49;0;39,49
L000054;V00022;1;978-381-226-9068-6;Infantil/Juvenil;11;1;11;0;11
L000055;V00022;2;978-315-197-2668-5;Idiomas;22,2;1;22,2;0;22,2
L000056;V00023;1;978-142-232-2221-1;Ciencia y Tecnología;31,62;1;31,62;0,1;28,46
L000057;V00024;1;978-203-870-3229-0;No Ficción;21,3;1;21,3;0,1;19,17
L000058;V00024;2;978-603-138-3078-7;Economía/Negocios;17,74;1;17,74;0;17,74
L000059;V00024;3;978-695-477-5046-9;Ficción;10,54;1;10,54;0;10,54
L000060;V00025;1;978-827-155-4298-0;Ficción;16,81;1;16,81;0;16,81
L000061;V00025;2;978-176-270-7468-2;Ficción;15,79;2;31,58;0;31,58
L000062;V00026;1;978-127-674-6177-8;Ficción;13,24;2;26,48;0;26,48
L000063;V00026;2;978-147-812-1155-4;Arte y Fotografía;45,59;1;45,59;0;45,59
L000064;V00027;1;978-466-926-1133-7;Cómics/Manga;12,59;3;37,77;0;37,77
L000065;V00027;2;978-176-157-6586-1;Idiomas;23,09;3;69,27;0,05;65,81
L000066;V00027;3;978-107-959-4614-9;Infantil/Juvenil;14,83;1;14,83;0,1;13,35
L000067;V00028;1;978-907-199-1656-5;Ficción;13,78;2;27,56;0,15;23,43
L000068;V00028;2;978-364-903-8072-0;Historia;27,86;3;83,58;0,05;79,4
L000069;V00029;1;978-509-902-1338-9;Historia;25,15;1;25,15;0,05;23,89
L000070;V00029;2;978-642-542-2629-4;Cómics/Manga;14;1;14;0;14
L000071;V00029;3;978-120-374-5075-1;Infantil/Juvenil;10,42;2;20,84;0;20,84
L000072;V00029;4;978-315-197-2668-5;Idiomas;22,14;2;44,28;0,05;42,07
L000073;V00030;1;978-606-268-1410-1;Autoayuda;14,61;1;14,61;0;14,61
L000074;V00030;2;978-919-458-9204-7;Arte y Fotografía;60,02;2;120,04;0;120,04
L000075;V00031;1;978-199-549-8295-0;Idiomas;36,39;1;36,39;0,1;32,75
L000076;V00031;2;978-371-118-6972-0;Infantil/Juvenil;9,81;1;9,81;0,1;8,83
L000077;V00031;3;978-301-106-5151-5;Infantil/Juvenil;12,34;2;24,68;0;24,68
L000078;V00032;1;978-574-439-5255-2;Autoayuda;14,77;3;44,31;0,05;42,09
L000079;V00032;2;978-290-561-1687-6;Idiomas;40,47;1;40,47;0,05;38,45
L000080;V00032;3;978-147-626-9040-2;Autoayuda;17,34;1;17,34;0;17,34
L000081;V00033;1;978-475-288-8850-9;Infantil/Juvenil;11,69;1;11,69;0,1;10,52
L000082;V00034;1;978-865-469-6850-1;Economía/Negocios;22,17;1;22,17;0,1;19,95
L000083;V00035;1;978-835-785-3308-5;No Ficción;18,05;1;18,05;0;18,05
L000084;V00036;1;978-178-245-3533-6;Infantil/Juvenil;13,35;1;13,35;0;13,35
L000085;V00037;1;978-464-203-3677-7;Economía/Negocios;22,55;1;22,55;0,1;20,3
L000086;V00037;2;978-385-848-9584-8;Economía/Negocios;32,65;1;32,65;0,1;29,38
L000087;V00037;3;978-676-773-2135-1;Arte y Fotografía;43,29;1;43,29;0;43,29
L000088;V00037;4;978-623-421-5070-2;Idiomas;29,25;1;29,25;0,05;27,79
L000089;V00037;5;978-855-830-8218-5;No Ficción;21,7;1;21,7;0;21,7
L000090;V00038;1;978-200-750-2038-2;Ciencia y Tecnología;26,43;4;105,72;0,15;89,86
L000091;V00039;1;978-751-341-8654-1;Ciencia y Tecnología;30,98;1;30,98;0;30,98
L000092;V00040;1;978-816-635-8263-9;No Ficción;17,53;3;52,59;0;52,59
L000093;V00040;2;978-135-402-8014-9;Historia;21,57;1;21,57;0;21,57
L000094;V00040;3;978-199-549-8295-0;Idiomas;27,76;1;27,76;0;27,76
L000095;V00040;4;978-846-932-7339-5;Historia;22,7;1;22,7;0,05;21,56
L000096;V00041;1;978-323-671-6518-3;Infantil/Juvenil;12,51;1;12,51;0,1;11,26
L000097;V00041;2;978-456-561-5923-4;Infantil/Juvenil;13,3;1;13,3;0;13,3
L000098;V00041;3;978-401-788-3742-8;Autoayuda;11,28;1;11,28;0;11,28
L000099;V00042;1;978-419-565-3535-7;Historia;19,8;1;19,8;0,1;17,82
L000100;V00042;2;978-114-323-7722-0;Historia;27;1;27;0;27
L000101;V00043;1;978-854-388-9496-0;Idiomas;30,4;2;60,8;0;60,8
L000102;V00043;2;978-658-971-8756-6;Autoayuda;15,12;1;15,12;0,1;13,61
L000103;V00043;3;978-201-738-3316-8;Arte y Fotografía;24,55;2;49,1;0;49,1
L000104;V00043;4;978-794-790-1303-4;Ficción;14,05;2;28,1;0,1;25,29
L000105;V00043;5;978-931-763-4567-1;Autoayuda;14,86;1;14,86;0,1;13,37
L000106;V00044;1;978-743-850-2976-5;Ciencia y Tecnología;32,22;1;32,22;0,15;27,39
L000107;V00044;2;978-840-121-2722-4;Cómics/Manga;14,21;3;42,63;0,1;38,37
L000108;V00044;3;978-854-388-9496-0;Idiomas;30,52;1;30,52;0;30,52
L000109;V00045;1;978-371-118-6972-0;Infantil/Juvenil;11,31;2;22,62;0;22,62
L000110;V00046;1;978-846-932-7339-5;Historia;24,19;3;72,57;0;72,57
L000111;V00047;1;978-622-354-7651-4;Cómics/Manga;9,44;1;9,44;0,05;8,97
L000112;V00047;2;978-637-665-4380-4;Ficción;13,27;1;13,27;0;13,27
L000113;V00047;3;978-204-801-5748-2;Historia;19,17;2;38,34;0;38,34
L000114;V00047;4;978-274-838-1591-2;Economía/Negocios;36,82;1;36,82;0;36,82
L000115;V00048;1;978-688-285-4435-6;Infantil/Juvenil;12;1;12;0;12
L000116;V00048;2;978-877-815-9541-5;No Ficción;21,38;1;21,38;0,1;19,24
L000117;V00049;1;978-844-512-5926-0;Ficción;18,15;1;18,15;0;18,15
L000118;V00049;2;978-193-234-7214-1;Economía/Negocios;22,85;3;68,55;0,1;61,7
L000119;V00050;1;978-167-861-2860-2;Ciencia y Tecnología;27,45;1;27,45;0;27,45
L000120;V00050;2;978-933-312-1983-4;Infantil/Juvenil;15;1;15;0,1;13,5
L000121;V00050;3;978-626-175-2794-6;Autoayuda;13,43;1;13,43;0,05;12,76
L000122;V00051;1;978-794-857-9642-2;Cómics/Manga;12,25;1;12,25;0,05;11,64
L000123;V00051;2;978-381-226-9068-6;Infantil/Juvenil;9,76;1;9,76;0;9,76
L000124;V00052;1;978-441-887-3949-4;Idiomas;29,42;2;58,84;0,1;52,96
L000125;V00053;1;978-687-752-7285-7;No Ficción;20,95;1;20,95;0;20,95
L000126;V00054;1;978-310-987-8069-7;Idiomas;26,32;1;26,32;0;26,32
L000127;V00055;1;978-946-374-5271-7;Historia;19,52;2;39,04;0,1;35,14
L000128;V00056;1;978-772-661-8669-5;Historia;24,6;1;24,6;0,15;20,91
L000129;V00057;1;978-606-396-4354-2;Ciencia y Tecnología;28,87;2;57,74;0,05;54,85
L000130;V00057;2;978-348-582-8154-7;Autoayuda;20,7;1;20,7;0,1;18,63
L000131;V00058;1;978-861-116-1232-9;Arte y Fotografía;41,55;1;41,55;0,15;35,32
L000132;V00058;2;978-623-186-6886-7;Autoayuda;17,56;2;35,12;0,1;31,61
L000133;V00058;3;978-531-835-8847-6;Arte y Fotografía;68,18;3;204,54;0;204,54
L000134;V00058;4;978-614-685-2567-3;Autoayuda;15,16;1;15,16;0;15,16
L000135;V00059;1;978-227-188-8486-8;Infantil/Juvenil;12,5;1;12,5;0;12,5
L000136;V00060;1;978-888-455-7868-2;Historia;20,55;2;41,1;0,1;36,99
L000137;V00060;2;978-900-579-3997-9;Autoayuda;16,39;3;49,17;0,05;46,71
L000138;V00060;3;978-342-612-5144-2;Economía/Negocios;19,32;1;19,32;0;19,32
L000139;V00061;1;978-467-233-6418-2;Ficción;15,63;2;31,26;0,05;29,7
L000140;V00061;2;978-336-858-2350-7;Historia;29,72;2;59,44;0,1;53,5
L000141;V00061;3;978-870-872-3245-2;Ciencia y Tecnología;52,51;1;52,51;0,05;49,88
L000142;V00061;4;978-824-788-2728-5;Arte y Fotografía;60,19;2;120,38;0,05;114,36
L000143;V00062;1;978-203-870-3229-0;No Ficción;16,52;2;33,04;0,15;28,08
L000144;V00062;2;978-540-175-3713-9;Autoayuda;13,55;1;13,55;0;13,55
L000145;V00063;1;978-827-155-4298-0;Ficción;13,8;2;27,6;0,05;26,22
L000146;V00064;1;978-336-858-2350-7;Historia;24,66;4;98,64;0;98,64
L000147;V00065;1;978-743-196-6499-9;Historia;21,94;4;87,76;0;87,76
L000148;V00066;1;978-513-993-1196-0;Infantil/Juvenil;15,05;1;15,05;0;15,05
L000149;V00067;1;978-855-830-8218-5;No Ficción;17,52;2;35,04;0,1;31,54
L000150;V00068;1;978-107-959-4614-9;Infantil/Juvenil;15,49;1;15,49;0;15,49
L000151;V00069;1;978-325-995-9652-2;No Ficción;20,98;2;41,96;0;41,96
L000152;V00069;2;978-688-702-3771-2;Autoayuda;15,43;2;30,86;0,1;27,77
L000153;V00069;3;978-232-413-8792-4;No Ficción;17,43;1;17,43;0;17,43
L000154;V00069;4;978-353-800-5198-1;Idiomas;33,19;1;33,19;0;33,19
L000155;V00069;5;978-239-791-5253-1;Cómics/Manga;9,71;1;9,71;0;9,71
L000156;V00070;1;978-877-585-1611-0;Historia;24,79;1;24,79;0,1;22,31
L000157;V00070;2;978-751-341-8654-1;Ciencia y Tecnología;25,71;1;25,71;0;25,71
L000158;V00071;1;978-745-562-2715-2;Arte y Fotografía;33,54;1;33,54;0,1;30,19
L000159;V00072;1;978-627-877-3175-3;Ficción;14,84;2;29,68;0,1;26,71
L000160;V00073;1;978-199-549-8295-0;Idiomas;29,03;2;58,06;0;58,06
L000161;V00073;2;978-777-506-4233-9;Idiomas;32,87;1;32,87;0,05;31,23
L000162;V00073;3;978-843-936-8609-8;Arte y Fotografía;30,69;1;30,69;0;30,69
L000163;V00074;1;978-376-480-1998-3;No Ficción;20,71;1;20,71;0;20,71
L000164;V00074;2;978-839-657-4984-1;Economía/Negocios;22,73;2;45,46;0,05;43,19
L000165;V00074;3;978-833-449-3763-6;No Ficción;21,71;2;43,42;0;43,42
L000166;V00074;4;978-669-694-5309-9;Autoayuda;15,66;1;15,66;0;15,66
L000167;V00074;5;978-363-793-8260-5;No Ficción;19,59;1;19,59;0;19,59
L000168;V00075;1;978-888-455-7868-2;Historia;19,39;3;58,17;0,15;49,44
L000169;V00076;1;978-215-672-3530-6;Idiomas;26,01;1;26,01;0,1;23,41
L000170;V00076;2;978-353-800-5198-1;Idiomas;33,37;1;33,37;0;33,37
L000171;V00076;3;978-371-265-7693-6;No Ficción;20,43;1;20,43;0,05;19,41
L000172;V00077;1;978-273-650-6579-5;No Ficción;15,74;1;15,74;0,15;13,38
L000173;V00077;2;978-774-681-4439-9;Autoayuda;21,11;2;42,22;0;42,22
L000174;V00077;3;978-139-101-2344-1;Cómics/Manga;11,28;1;11,28;0,1;10,15
L000175;V00078;1;978-129-503-5983-2;Ciencia y Tecnología;27,29;1;27,29;0,15;23,2
L000176;V00079;1;978-385-848-9584-8;Economía/Negocios;29,73;1;29,73;0,1;26,76
L000177;V00079;2;978-465-467-6986-9;Autoayuda;18,9;2;37,8;0;37,8
L000178;V00079;3;978-108-849-2817-9;Arte y Fotografía;30,89;1;30,89;0,05;29,35
L000179;V00080;1;978-774-681-4439-9;Autoayuda;22,61;1;22,61;0,1;20,35
L000180;V00080;2;978-149-682-9163-5;Infantil/Juvenil;9,82;1;9,82;0;9,82
L000181;V00081;1;978-199-549-8295-0;Idiomas;33,81;3;101,43;0,1;91,29
L000182;V00082;1;978-817-238-8367-0;Economía/Negocios;23,55;1;23,55;0;23,55
L000183;V00082;2;978-419-565-3535-7;Historia;25,04;1;25,04;0;25,04
L000184;V00083;1;978-342-469-3173-2;Cómics/Manga;10,37;1;10,37;0;10,37
L000185;V00084;1;978-712-985-4540-4;Historia;18,24;2;36,48;0,1;32,83
L000186;V00085;1;978-863-314-7005-3;No Ficción;21,03;3;63,09;0,05;59,94
L000187;V00085;2;978-348-582-8154-7;Autoayuda;22,77;1;22,77;0;22,77
L000188;V00086;1;978-572-908-1727-4;Ciencia y Tecnología;27,53;1;27,53;0;27,53
L000189;V00086;2;978-932-321-1255-7;Arte y Fotografía;58,86;1;58,86;0;58,86
L000190;V00087;1;978-358-246-4304-2;Ficción;12,48;4;49,92;0,15;42,43
L000191;V00088;1;978-324-633-2158-5;Ficción;13,86;2;27,72;0,15;23,56
L000192;V00088;2;978-456-121-2855-3;Arte y Fotografía;57,65;2;115,3;0,1;103,77
L000193;V00088;3;978-654-280-9485-8;Idiomas;35,97;1;35,97;0;35,97
L000194;V00089;1;978-642-542-2629-4;Cómics/Manga;9,78;1;9,78;0,1;8,8
L000195;V00089;2;978-307-344-5651-5;Cómics/Manga;12,15;1;12,15;0;12,15
L000196;V00089;3;978-748-716-2649-3;Infantil/Juvenil;9,39;1;9,39;0;9,39
L000197;V00090;1;978-483-661-5174-9;Cómics/Manga;9,65;3;28,95;0,1;26,05
L000198;V00091;1;978-376-480-1998-3;No Ficción;19,44;2;38,88;0;38,88
L000199;V00091;2;978-745-670-3804-3;Idiomas;24,77;1;24,77;0,1;22,29
L000200;V00092;1;978-819-931-4956-3;Cómics/Manga;10,87;2;21,74;0,1;19,57
L000201;V00092;2;978-802-259-7496-1;Ficción;17,22;1;17,22;0;17,22
L000202;V00092;3;978-381-226-9068-6;Infantil/Juvenil;9,62;2;19,24;0;19,24
L000203;V00092;4;978-204-801-5748-2;Historia;17,36;1;17,36;0,1;15,62
L000204;V00092;5;978-301-255-8560-2;Cómics/Manga;9,18;2;18,36;0;18,36
L000205;V00092;6;978-676-300-4159-7;Economía/Negocios;20,89;1;20,89;0;20,89
L000206;V00092;7;978-364-903-8072-0;Historia;28,33;1;28,33;0;28,33
L000207;V00093;1;978-543-781-3726-8;No Ficción;21,6;1;21,6;0,15;18,36
L000208;V00094;1;978-531-835-8847-6;Arte y Fotografía;41,27;1;41,27;0,1;37,14
L000209;V00094;2;978-85-471-2895-2;No Ficción;17,46;3;52,38;0,1;47,14
L000210;V00095;1;978-772-661-8669-5;Historia;19,06;1;19,06;0,1;17,15
L000211;V00096;1;978-877-585-1611-0;Historia;22,47;1;22,47;0;22,47
L000212;V00096;2;978-606-396-4354-2;Ciencia y Tecnología;37,13;1;37,13;0;37,13
L000213;V00096;3;978-708-566-2923-6;Economía/Negocios;25,33;1;25,33;0;25,33
L000214;V00096;4;978-385-281-9631-7;Autoayuda;16,61;2;33,22;0;33,22
L000215;V00096;5;978-355-195-1472-3;Autoayuda;20,7;1;20,7;0,1;18,63
L000216;V00097;1;978-129-799-2179-7;Ficción;15,38;1;15,38;0,1;13,84
L000217;V00097;2;978-743-850-2976-5;Ciencia y Tecnología;54,34;1;54,34;0;54,34
L000218;V00098;1;978-900-451-4352-7;Ficción;13,42;3;40,26;0,15;34,22
L000219;V00098;2;978-129-503-5983-2;Ciencia y Tecnología;50,39;1;50,39;0,05;47,87
L000220;V00098;3;978-859-404-3858-9;Economía/Negocios;19,53;1;19,53;0,05;18,55
L000221;V00098;4;978-668-756-6823-6;Historia;31,69;1;31,69;0;31,69
L000222;V00099;1;978-794-790-1303-4;Ficción;17,26;1;17,26;0;17,26
L000223;V00100;1;978-513-993-1196-0;Infantil/Juvenil;13,72;1;13,72;0,05;13,03
L000224;V00101;1;978-941-549-1942-6;Ficción;19,33;1;19,33;0;19,33
L000225;V00102;1;978-900-451-4352-7;Ficción;17,17;2;34,34;0,05;32,62
L000226;V00102;2;978-365-342-9443-5;Economía/Negocios;29,85;1;29,85;0,05;28,36
L000227;V00103;1;978-424-945-9147-0;Economía/Negocios;23,03;1;23,03;0;23,03
L000228;V00103;2;978-116-683-9220-5;Arte y Fotografía;66,14;1;66,14;0,05;62,83
L000229;V00104;1;978-200-750-2038-2;Ciencia y Tecnología;30,82;1;30,82;0;30,82
L000230;V00104;2;978-865-191-2055-2;Autoayuda;23,88;1;23,88;0,1;21,49
L000231;V00104;3;978-875-138-1557-3;Economía/Negocios;23,11;1;23,11;0;23,11
L000232;V00105;1;978-762-399-4032-4;Ficción;15,9;1;15,9;0,05;15,11
L000233;V00106;1;978-98-275-9461-8;Historia;21,66;1;21,66;0;21,66
L000234;V00106;2;978-491-174-3026-6;No Ficción;18,2;2;36,4;0,1;32,76
L000235;V00106;3;978-622-354-7651-4;Cómics/Manga;16,05;1;16,05;0;16,05
L000236;V00106;4;978-676-300-4159-7;Economía/Negocios;18,71;1;18,71;0;18,71
L000237;V00106;5;978-303-682-5227-2;Cómics/Manga;16,47;1;16,47;0;16,47
L000238;V00107;1;978-875-670-9963-4;Infantil/Juvenil;12,48;2;24,96;0;24,96
L000239;V00108;1;978-376-217-9054-9;Infantil/Juvenil;12,86;2;25,72;0;25,72
L000240;V00108;2;978-709-558-1911-1;Ficción;11,19;2;22,38;0;22,38
L000241;V00109;1;978-624-888-4214-3;Cómics/Manga;11,77;2;23,54;0,15;20,01
L000242;V00109;2;978-490-438-7939-8;Infantil/Juvenil;15,98;1;15,98;0;15,98
L000243;V00110;1;978-274-161-4788-5;No Ficción;16,47;1;16,47;0,05;15,65
L000244;V00110;2;978-923-407-1305-4;Historia;15,14;1;15,14;0;15,14
L000245;V00111;1;978-683-433-4038-0;Cómics/Manga;10,94;1;10,94;0;10,94
L000246;V00111;2;978-315-197-2668-5;Idiomas;21,91;2;43,82;0;43,82
L000247;V00111;3;978-690-808-8261-7;Ficción;18,75;2;37,5;0,05;35,62
L000248;V00111;4;978-777-506-4233-9;Idiomas;32,62;1;32,62;0,05;30,99
L000249;V00111;5;978-712-985-4540-4;Historia;20,55;2;41,1;0;41,1
L000250;V00111;6;978-712-985-4540-4;Historia;21;2;42;0;42
L000251;V00112;1;978-427-355-1778-8;No Ficción;20,17;1;20,17;0,15;17,14
L000252;V00112;2;978-623-186-6886-7;Autoayuda;20,52;1;20,52;0,1;18,47
L000253;V00113;1;978-282-303-1465-5;Ciencia y Tecnología;28,22;3;84,66;0;84,66
L000254;V00113;2;978-466-926-1133-7;Cómics/Manga;15,24;1;15,24;0,05;14,48
L000255;V00114;1;978-213-101-3736-8;Ficción;15,33;2;30,66;0,05;29,13
L000256;V00114;2;978-376-118-6982-7;Arte y Fotografía;65,28;2;130,56;0;130,56
L000257;V00115;1;978-164-189-8893-1;Autoayuda;19,96;1;19,96;0;19,96
L000258;V00116;1;978-844-512-5926-0;Ficción;13,03;1;13,03;0,05;12,38
L000259;V00116;2;978-474-405-7494-2;Idiomas;41,75;1;41,75;0,05;39,66
L000260;V00116;3;978-232-413-8792-4;No Ficción;18,22;1;18,22;0;18,22
L000261;V00116;4;978-127-775-8639-2;No Ficción;21,91;1;21,91;0;21,91
L000262;V00116;5;978-931-804-1732-3;Ficción;20,72;1;20,72;0;20,72
L000263;V00116;6;978-863-314-7005-3;No Ficción;18,16;2;36,32;0;36,32
L000264;V00116;7;978-922-996-5871-2;Ciencia y Tecnología;25,96;1;25,96;0;25,96
L000265;V00117;1;978-256-409-5068-9;Economía/Negocios;21,04;3;63,12;0,05;59,96
L000266;V00117;2;978-709-558-1911-1;Ficción;10,49;1;10,49;0,1;9,44
L000267;V00117;3;978-942-167-2975-5;Ciencia y Tecnología;28,34;3;85,02;0,1;76,52
L000268;V00118;1;978-585-589-4870-2;Economía/Negocios;23,07;1;23,07;0,1;20,76
L000269;V00119;1;978-142-232-2221-1;Ciencia y Tecnología;33,28;1;33,28;0,1;29,95
L000270;V00120;1;978-441-887-3949-4;Idiomas;32,11;2;64,22;0;64,22
L000271;V00120;2;978-301-106-5151-5;Infantil/Juvenil;12,55;2;25,1;0;25,1
L000272;V00120;3;978-846-932-7339-5;Historia;22,76;3;68,28;0;68,28
L000273;V00121;1;978-116-683-9220-5;Arte y Fotografía;38,03;1;38,03;0;38,03
L000274;V00121;2;978-385-281-9631-7;Autoayuda;16,42;1;16,42;0,1;14,78
L000275;V00122;1;978-513-811-9625-1;Infantil/Juvenil;13,18;1;13,18;0,05;12,52
L000276;V00123;1;978-675-417-4494-2;Historia;23,23;3;69,69;0,15;59,24
L000277;V00123;2;978-120-673-4398-7;Ciencia y Tecnología;39,67;1;39,67;0;39,67
L000278;V00124;1;978-358-881-2678-5;Economía/Negocios;22,2;1;22,2;0,1;19,98
L000279;V00125;1;978-91-352-3277-1;Ficción;16,36;1;16,36;0,1;14,72
L000280;V00125;2;978-467-233-6418-2;Ficción;15,87;1;15,87;0;15,87
L000281;V00125;3;978-424-794-2190-0;Cómics/Manga;11,92;1;11,92;0;11,92
L000282;V00126;1;978-891-829-9865-2;Arte y Fotografía;34,36;2;68,72;0,05;65,28
L000283;V00126;2;978-769-279-2603-9;Cómics/Manga;12,61;2;25,22;0,1;22,7
L000284;V00126;3;978-690-789-6141-8;Arte y Fotografía;35,78;2;71,56;0;71,56
L000285;V00127;1;978-907-199-1656-5;Ficción;15,64;2;31,28;0,15;26,59
L000286;V00128;1;978-156-189-3783-0;Ficción;19,71;1;19,71;0;19,71
L000287;V00128;2;978-293-174-9962-4;Ciencia y Tecnología;29,08;2;58,16;0,05;55,25
L000288;V00128;3;978-701-999-5961-4;Economía/Negocios;39,27;2;78,54;0;78,54
L000289;V00128;4;978-263-377-2144-9;Economía/Negocios;27,34;1;27,34;0,05;25,97
L000290;V00129;1;978-608-876-4645-9;Ciencia y Tecnología;29,18;2;58,36;0;58,36
L000291;V00130;1;978-383-525-8469-7;Autoayuda;15,55;1;15,55;0,1;14
L000292;V00130;2;978-111-763-2974-9;Economía/Negocios;40,52;2;81,04;0,1;72,94
L000293;V00131;1;978-528-426-5538-2;Infantil/Juvenil;12,1;2;24,2;0,15;20,57
L000294;V00132;1;978-865-469-6850-1;Economía/Negocios;18,79;2;37,58;0;37,58
L000295;V00132;2;978-732-753-3216-1;Autoayuda;13,72;1;13,72;0;13,72
L000296;V00133;1;978-740-952-7182-4;No Ficción;18,94;1;18,94;0;18,94
L000297;V00134;1;978-306-229-7126-1;Historia;18,66;1;18,66;0,1;16,79
L000298;V00135;1;978-164-189-8893-1;Autoayuda;14,39;1;14,39;0;14,39
L000299;V00135;2;978-309-454-9156-3;No Ficción;23,11;1;23,11;0,05;21,95
L000300;V00135;3;978-325-574-8203-0;Arte y Fotografía;54,88;1;54,88;0;54,88
L000301;V00136;1;978-209-582-1163-6;Economía/Negocios;22,14;2;44,28;0,05;42,07
L000302;V00136;2;978-441-887-3949-4;Idiomas;40,44;3;121,32;0,05;115,25
L000303;V00136;3;978-641-372-4300-3;Infantil/Juvenil;9,83;1;9,83;0;9,83
L000304;V00136;4;978-87-635-8259-0;Infantil/Juvenil;15,9;2;31,8;0;31,8
L000305;V00136;5;978-239-793-2478-9;Ficción;10,47;2;20,94;0;20,94
